@RELATION all_data_processed_new_ToBeTestedOnModelLR

@ATTRIBUTE popularity REAL
@ATTRIBUTE genre {Hip-Hop,country,electronic,folk,funk,indie,pop,rap,rnb,rock,soul}
@ATTRIBUTE danceability REAL
@ATTRIBUTE energy REAL
@ATTRIBUTE key {0,1,2,3,4,5,6,7,8,9,10,11}
@ATTRIBUTE loudness REAL
@ATTRIBUTE mode {0,1}
@ATTRIBUTE speechiness REAL
@ATTRIBUTE acousticness REAL
@ATTRIBUTE instrumentalness REAL
@ATTRIBUTE liveness REAL
@ATTRIBUTE valence REAL
@ATTRIBUTE tempo REAL
@ATTRIBUTE duration_ms REAL
@ATTRIBUTE time_signature {3,4,5}
@ATTRIBUTE word_count REAL
@ATTRIBUTE reading_ease REAL
@ATTRIBUTE polarity REAL
@ATTRIBUTE subjectivity REAL
@ATTRIBUTE is_winner {0}
@ATTRIBUTE is_nominee {0,1}

@DATA
0,Hip-Hop,0.878,0.219,6,-15.907,1,0.212,0.509,0.794,0.103,0.207,120.018,316364,4,?,?,?,?,0,0
71,rap,0.886,0.628,8,-5.949,1,0.131,0.00215,1.15E-05,0.31,0.181,119.906,239574,4,?,?,?,?,0,0
73,rnb,0.733,0.676,10,-5.655,0,0.0432,0.0697,0,0.208,0.717,97.448,226581,4,?,?,?,?,0,0
71,pop,0.777,0.663,4,-6.117,1,0.0305,0.146,1.52E-05,0.174,0.598,118.016,181827,4,280,96.18,0.176915114,0.537784679,0,0
75,pop,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.396,120.001,226600,4,290,82.31,-0.0625,0.5859375,0,0
77,pop,0.723,0.711,0,-5.576,0,0.0378,0.0997,0,0.0528,0.6,138.098,192107,4,390,89.75,?,?,0,0
4,pop,0.871,0.68,8,-9.531,1,0.391,0.37,0,0.086,0.643,123.975,230400,4,?,?,?,?,0,0
34,pop,0.362,0.324,1,-10.349,1,0.0477,0.834,0,0.0685,0.495,187.184,220851,4,?,?,?,?,0,0
79,pop,0.564,0.714,7,-4.987,1,0.129,0.0549,0,0.155,0.328,175.924,204013,4,322,99.23,0.076322751,0.351917989,0,0
69,Hip-Hop,0.863,0.493,6,-8.388,1,0.146,0.0145,1.30E-06,0.0973,0.195,125.019,199027,4,437,97.2,0.062193362,0.655908289,0,0
