song,artist,word_count,reading_ease,polarity,subjectivity
That's All You Gotta Do,Brenda Lee,237,97.2,0.233333333333,0.404166666667
Sweet Nothin's,Brenda Lee,119,90.77,0.305357142857,0.641071428571
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,?,?,?,?
Kiddio,Brook Benton,214,106.67,0.379259259259,0.558518518519
Greenfields,Brothers Four,176,96.18,0.0241176470588,0.449411764706
The Old Lamplighter,Browns,213,100.24,0.0326659451659,0.366955266955
Lonely Weekends,Charlie Rich,142,80.28,0.206666666667,0.566666666667
The Twist,Chubby Checker,179,98.21,?,?
Mama,Connie Francis,87,83.32,0.326262626263,0.494444444444
Among My Souvenirs,Connie Francis,71,83.32,0.125,0.41875
My Heart Has A Mind Of Its Own,Connie Francis,154,103.63,0.244480519481,0.704220779221
Everybody's Somebody's Fool,Connie Francis,163,71.82,0.26,0.38
Lonely Blue Boy,Conway Twitty,114,88.74,-0.0857142857143,0.52380952381
Step By Step,Crests,174,106.67,0.273888888889,0.476111111111
A Rockin' Good Way,Dinah Washington and Brook Benton,260,99.23,0.423673469388,0.489795918367
Where Or When,Dion and The Belmonts,?,?,?,?
Mission Bell,Donnie Brooks,243,98.21,0.379333333333,0.644476190476
Save The Last Dance For Me,Drifters,237,98.21,0.142829131653,0.196022408964
Because They're Young,Duane Eddy,1,?,0.0,0.0
Mack the Knife,Ella Fitzgerald,290,104.64,0.0142857142857,0.142857142857
It's Now Or Never,Elvis Presley,125,101.26,0.167582417582,0.480036630037
Stuck On You,Elvis Presley,220,90.77,0.0354166666667,0.504166666667
Let It Be Me,Everly Brothers,109,100.24,0.29375,0.64375
So Sad,Everly Brothers,114,105.66,0.156349206349,0.666931216931
When Will I Be Loved,Everly Brothers,93,87.72,0.252861952862,0.482996632997
Cathy's Clown,Everly Brothers,138,98.21,0.291666666667,0.652777777778
Walking To New Orleans,Fats Domino,131,100.24,0.0939393939394,0.349242424242
Mule Skinner Blues,Fendermen,168,117.16,0.154719065657,0.39154040404
Theme From The Apartment,Ferrante and Teicher,240,96.18,-0.0320384294069,0.42589807853
Down By The Station,Four Preps,302,97.2,0.118996415771,0.533154121864
Nice 'n Easy,Frank Sinatra ,154,90.77,0.466666666667,0.788095238095
Why,Frankie Avalon,149,90.77,0.453456221198,0.605529953917
Way Down Yonder In New Orleans,Freddie Cannon,?,?,?,?
Finger Poppin' Time,Hank Ballard and The Midnighters,12,85.69,?,?
"Please Help Me, I'm Falling",Hank Locklin,113,94.15,0.26,0.72
Alley Oop,Hollywood Argyles,342,99.23,0.0698529411765,0.490767973856
Burning Bridges,Jack Scott,47,90.77,-0.12,0.52
What In The World's Come Over You,Jack Scott,178,99.23,0.233035714286,0.708928571429
Night,Jackie Wilson,105,81.29,0.322222222222,0.454444444444
Doggin' Around,Jackie Wilson,?,?,?,?
He'll Have To Stay,Jeanne Black,159,96.18,0.3,0.636904761905
He'll Have To Go,Jim Reeves,150,95.17,0.0719907407407,0.499537037037
A Million To One,Jimmy Charles,121,81.29,0.442857142857,0.571428571429
Go Jimmy Go,Jimmy Clanton,197,107.69,?,?
Handy Man,Jimmy Jones,120,108.7,0.150854700855,0.567094017094
Good Timin',Jimmy Jones,254,107.69,0.381777777778,0.534555555556
You Talk Too Much,Joe Jones,139,110.73,0.2,0.2
Beatnik Fly,Johnny and The Hurricanes,2,?,0.0,0.0
Dreamin',Johnny Burnette,98,82.31,0.428571428571,0.578571428571
Sink The Bismark,Johnny Horton,462,95.17,0.0247619047619,0.300952380952
Running Bear,Johnny Preston,221,91.78,0.171388888889,0.440277777778
Cradle Of Love,Johnny Preston,150,90.77,0.270444444444,0.459555555556
Poetry In Motion,Johnny Tillotson,119,69.79,0.35,0.610714285714
Mr. Custer,Larry Verne,?,?,?,?
Forever,Little Dippers,64,65.39,0.103409090909,0.502272727273
Lady Luck,Lloyd Price,218,106.67,0.105769230769,0.490384615385
Teen Angel,Mark Dinning,156,89.75,0.207619047619,0.359047619048
El Paso,Marty Robbins,454,88.74,0.0381836219336,0.457075036075
I Love The Way You Love,Marv Johnson,288,98.21,0.431790549876,0.584691903841
You've Got What It Takes,Marv Johnson,330,98.21,0.350346053124,0.57897493453
Stay,Maurice Williams,132,100.24,0.183928571429,0.535714285714
Stairway To Heaven,Neil Sedaka,213,89.75,0.226666666667,0.606666666667
It's Time To Cry,Paul Anka,99,99.23,-0.06875,0.3125
Puppy Love,Paul Anka,1,?,0.0,0.0
My Home Town,Paul Anka,205,98.21,0.110841049383,0.632098765432
Happy-Go-Lucky Me,Paul Evans,141,100.24,0.377573529412,0.673039215686
"Theme From ""A Summer Place""",Percy Faith,113,108.7,0.394444444444,0.616666666667
Harbor Lights,Platters,139,100.24,0.109375,0.4609375
Georgia On My Mind,Ray Charles,122,99.23,0.173684210526,0.35701754386
Tell Laura I Love Her,Ray Peterson,212,98.21,0.209090909091,0.590909090909
Young Emotions,Ricky Nelson,132,81.29,0.228636363636,0.582954545455
Love You So,Ron Holden,?,?,?,?
Only The Lonely,Roy Orbison,143,73.85,0.000959909655562,0.803924336533
Chain Gang,Sam Cooke,229,104.64,0.139638447972,0.443959435626
Wonderful World,Sam Cooke,170,98.21,0.386363636364,0.390909090909
Cherry Pie,Skip and Flip,188,91.78,0.415625,0.625
Pretty Blue Eyes,Steve Lawrence,182,101.26,0.240322580645,0.544802867384
Footsteps,Steve Lawrence,144,91.78,?,?
The Big Hurt,Toni Fisher,143,100.24,0.0555555555556,0.140740740741
"Walk, Dont Run",Ventures,?,?,?,?
Take Good Care Of Her,Adam Wade,173,87.72,0.547826086957,0.627173913043
The Writing On The Wall,Adam Wade,177,108.7,0.0333683473389,0.501820728291
Yellow Bird,Arthur Lyman,116,98.21,0.140350877193,0.617105263158
"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann,394,108.7,0.304295224007,0.384129332206
Stand By Me,Ben E. King,?,?,?,?
Spanish Harlem,Ben E. King,?,?,?,?
Mexico,Bob Moore,2,?,0.0,0.0
You Must Have Been A Beautiful Baby,Bobby Darin,213,88.74,0.381730769231,0.720192307692
One Track Mind,Bobby Lewis,327,107.69,0.211976911977,0.654473304473
Tossin' And Turnin',Bobby Lewis,258,100.24,0.109157509158,0.328388278388
Good Time Baby,Bobby Rydell,227,88.74,?,?
Take Good Care Of My Baby,Bobby Vee,197,99.23,0.448125,0.536944444444
Rubber Ball,Bobby Vee,280,88.74,0.000694444444444,0.177638888889
You Can Depend On Me,Brenda Lee,116,97.2,0.464285714286,0.255952380952
Dum Dum,Brenda Lee,212,95.17,0.270192307692,0.5
Think Twice,Brook Benton,115,105.66,0.108333333333,0.520833333333
The Boll Weevil Song,Brook Benton,273,98.21,0.326071428571,0.413571428571
Baby Sittin' Boogie,Buzz Clifford,261,89.75,0.0559640522876,0.480392156863
Those Oldies But Goodies,Caesar and The Romans,?,?,?,?
There's A Moon Out Tonight,Capris,174,91.78,0.0,0.0
Gee Whiz (Look At His Eyes),Carla Thomas,110,107.69,0.31,0.61
I Like It Like That,Chris Kenner,341,97.2,0.0392361111111,0.338888888889
The Fly,Chubby Checker,193,96.18,0.534833333333,0.809333333333
Let's Twist Again,Chubby Checker,197,96.18,0.108680555556,0.231944444444
Pony Time,Chubby Checker,201,99.23,0.0649234693878,0.383673469388
Breakin' In A Brand New Broken Heart,Connie Francis,116,98.21,-0.0552947052947,0.357992007992
Where The Boys Are,Connie Francis,112,90.77,0.149074074074,0.656481481481
Pretty Little Angel Eyes,Curtis Lee,222,82.31,0.182661290323,0.764516129032
Take Five,Dave Brubeck,1,?,0.0,0.0
Raindrops,Dee Clark,152,98.21,0.333333333333,0.35
Hats Off To Larry,Del Shannon,158,107.69,0.118181818182,0.477272727273
Runaway,Del Shannon,182,98.21,?,?
The Mountain's High,Dick and Deedee,212,89.75,0.0163333333333,0.433666666667
Runaround Sue,Dion,242,96.18,0.218975468975,0.504184704185
Sea Of Heartbreak,Don Gibson,101,91.78,0.1,0.38
Bristol Stomp,Dovells,257,89.75,?,?
Please Stay,Drifters,207,105.66,0.2,0.6
Baby Blue,Echoes,125,91.78,0.196875,0.390625
I'm Gonna Knock On Your Door,Eddie Hodges,237,104.64,0.179320987654,0.530864197531
Are You Lonesome Tonight,Elvis Presley,218,88.74,0.182291666667,0.479166666667
Surrender,Elvis Presley,101,89.75,0.458333333333,0.625
Little Sister,Elvis Presley,235,100.24,-0.0150325877826,0.492221620972
(Marie's The Name) His Latest Flame,Elvis Presley,151,89.75,0.392222222222,0.651111111111
Mother-In-Law,Ernie K-Doe,151,100.24,-0.0783950617284,0.457098765432
Walk Right Back,Everly Brothers,152,95.17,0.210084033613,0.418907563025
Hello Walls,Faron Young,151,88.74,-0.0666666666667,0.483333333333
Let The Four Winds Blow,Fats Domino,166,117.16,0.422222222222,0.566666666667
Wings Of A Dove,Ferlin Husky,213,99.23,0.157367724868,0.421759259259
