Boyz II Men
Mary J. Blige
KLF
Color Me Badd
TLC
Color Me Badd
Charles and Eddie
Amy Grant
Richard Marx
En Vogue
Keith Sweat
Mr. Big
Amy Grant
CeCe Peniston
Def Leppard
Das EFX
Bonnie Raitt
Whitney Houston
Tag Team
UB40
Janet Jackson
Silk
SWV
Shai
Mariah Carey
Wreckx-N-Effect
Snow
Dr. Dre
Boyz II Men
Jade
H-Town
Jodeci
Duice
Robin S.
Peabo Bryson and Regina Belle
Janet Jackson
SWV
Vanessa Willlams and Brian Mcknight
Soul Asylum
Expose
Paperboy
Snap
Billy Joel
Proclaimers
Spin Doctors
SWV
Whitney Houston
Arrested Development
Rod Stewart
Shanice
Duran Duran
Tony! Toni! Tone!
Meat Loaf
Onyx
P.M. Dawn
Whitney Houston
Shai
Duran Duran
Tina Turner
P.M. Dawn
95 South
Naughty By Nature
Toni Braxton
Michael Jackson
Shil
Bobby Brown
4 Non Blondes
Ace Of Base
Prince and The New Power Generation
Dr. Dre
Brian McKnight
Xscape
2Pac
Bon Jovi
Mary J. Blige
Portrait
Aerosmith
Ugly Kid Joe
TLC
Positive K
Zhane
Cypress Hill
Madonna
Madonna
Jeremy Jordan
Inner Circle
Boy Krazy
Jon Secada
Jon Secada
Kenny G
Janet Jackson
Jazzy Jeff and Fresh Prince
Restless Heart
Inner Circle
Ice Cube
Captain Hollywood Project
Heights
Digable Planets
Haddaway
Michael Bolton
En Vogue
Kris Kross
Ice Cube
Sting
Dino
Go West
Rod Stewart
Tears For Fears
Joey Lawrence
Green Jelly
Aerosmith
Gin Blossoms
Sting
Tony! Toni! Tone!
Jade
Taylor Dayne
Def Leppard
Ace Of Base
All-4-One
Boyz II Men
Celine Dion
Mariah Carey
Lisa Loeb and Nine Stories
Toni Braxton
"Bryan Adams, Rod Stewart and Sting"
Ace Of Base
Ace Of Base
R. Kelly
Janet Jackson
Madonna
Salt-N-Pepa
John Mellencamp and Me'shell Ndegeocello
Mariah Carey
Toni Braxton
Elton John
Artist Formerly Known As Prince
Coolio
Big Mountain
Warren G and Nate Dogg
Jon Secada
Aaliyah
Richard Marx
Babyface
Bryan Adams
All-4-One
Salt-N-Pepa
Janet Jackson
Collective Soul
Michael Bolton
Enigma
Sheryl Crow
Crash Test Dummies
Tevin Campbell
Da Brat
Meat Loaf
Drs
"10,000 Maniacs"
US3
Tag Team
Melissa Etheridge
Changing Faces
Tevin Campbell
Crystal Waters
Mariah Carey
Janet Jackson
Cranberries
Beck
Gin Blossoms
Snoop Doggy Dogg
Immature
Bruce Springsteen
Domino
Luther Vandross and Mariah Carey
Aaron Hall
Xscape
Warren G
Jodeci
2Pac
Snoop Doggy Dogg
Real McCoy
R. Kelly
69 Boyz
Jimmy Cliff
Babyface
Aerosmith
Xscape
Aaliyah
Meat Loaf
Aerosmith
Erasure
Zhane
Gabrielle
Culture Beat
Tom Petty and The Heartbreakers
SWV
Joshua Kadison
Eternal
Craig Mack
Queen Latifah
Seal
Madonna
Ini Kamoze
Phil Collins
Tim McGraw
Heavy D and The Boyz
Four Seasons
Tim McGraw
Bon Jovi
Melissa Etheridge
Ahmad
Bonnie Raitt
General Public
Tevin Campbell
Haddaway
Babyface
Ice Cube
Brandy
Coolio
TLC
TLC
Seal
Boyz II Men
Real McCoy
Mariah Carey
Madonna
Monica
Montell Jordan
Dionne Farris
Boyz II Men
Adina Howard
Blues Traveler
All-4-One
Bryan Adams
Bon Jovi
Shaggy
Nicki French
Des'ree
Michael Jackson
Hootie and The Blowfish
Notorious B.I.G.
Ini Kamoze
Soul For Real
Hootie and The Blowfish
Blessid Union Of Souls
TLC
Janet Jackson
Sheryl Crow
Vanessa Williams
Jon B.
Hootie and The Blowfish
Brownstone
Martin Page
Luniz
Brandy
Real McCoy
Sophie B. Hawkins
Mokenstef
Collective Soul
Method Man-Mary J. Blige
Diana King
Melissa Etheridge
Soul For Real
BLACKstreet
Notorious B.I.G.
4 P.M.
Brandy
Boyz II Men
2Pac
Jamie Walters
Dr. Dre
Corona
Del Amitri
Michael Jackson and Janet Jackson
Jodeci
Skee-lo
Elton John
Natalie Merchant
Tom Petty
Take That
69 Boyz
Janet Jackson
Groove Theory
Total
Sheryl Crow
Subway
Real McCoy
Bon Jovi
Madonna
Junior M.A.F.I.A.
Naughty By Nature
Jade
Vanessa Williams
20 Fingers feat. Gillette
Brandy
Annie Lennox
Faith Evans
Immature
U2
Crystal Waters
Raphael Saadiq
Az
Better Than Ezra
D'angelo
Gloria Estefan
After 7
Bone Thugs-N-Harmony
Melissa Etheridge
Firehouse
Stevie B
Rednex
Boyz II Men
Pretenders
N II U
Da Brat
Brandy
Soul Asylum
Van Halen
Los Del Rio
Mariah Carey and Boyz II Men
Celine Dion
Tony Rich Project
Mariah Carey
Tracy Chapman
Bone Thugs-N-Harmony
Donna Lewis
Toni Braxton
Keith Sweat
Quad City DJ's
Everything But The Girl
Alanis Morissette
Whitney Houston
Gin Blossoms
Brandy
2Pac
Celine Dion
Eric Clapton
LL Cool J
LL Cool J
Jann Arden
La Bouche
Goo Goo Dolls
Jewel
No Mercy
R. Kelly
Dishwalla
Alanis Morissette
Joan Osborne
Natalie Merchant
Mary J. Blige
Coolio
112 feat. The Notorious B.I.G.
R. Kelly
SWV
La Bouche
Monica
Deep Blue Something
Coolio
Collective Soul
BLACKstreet (feat. Dr. Dre)
3t
Smashing Pumpkins
TLC
Monica
Total
Whitney Houston and Cece Winans
Mariah Carey
Hootie and The Blowfish
Madonna
Az Yet
Merril Bainbridge
Color Me Badd
Joe
Oasis
Busta Rhymes
Groove Theory
Outkast
Blues Traveler
LL Cool J
George Michael
Case feat. Foxxy Brown
Kris Kross
Robert Miles
Adam Clayton and Larry Mullen
Bodeans
No Doubt
Aaliyah
D'angelo
John Mellencamp
Ginuwine
Keith Sweat
Hootie and The Blowfish
Sheryl Crow
Sophie B. Hawkins
Mc Lyte
Natalie Merchant
Melissa Etheridge
Deborah Cox
Toni Braxton
Amber
R. Kelly
Janet Jackson
Planet Soul
New Edition
Total
Ghost Town Dj's
Junior M.A.F.I.A.
Maxi Priest feat. Shaggy
Do Or Die
Metallica
Crucial Conflict
Ace Of Base
Take That
Pearl Jam
Faith Evans
Los Del Rio
Hootie and The Blowfish
Seal
Elton John
Jewel
Puff Daddy and Faith Evans
Toni Braxton
Puff Daddy
R. Kelly
En Vogue
Mark Morrison
LeAnn Rimes
Spice Girls
Backstreet Boys
Hanson
Monica
Usher
Meredith Brooks
Keith Sweat
Third Eye Blind
Duncan Sheik
Az Yet feat. Peter Cetera
Notorious B.I.G.
Verve Pipe
Savage Garden
BLACKstreet feat. Dr. Dre
Rome
Notorious B.I.G.
Babyface
Dru Hill
Spice Girls
Robyn
Boyz II Men
Changing Faces
Mariah Carey
Whitney Houston
Freaknasty
Spice Girls
Sister Hazel
112
Paula Cole
Shawn Colvin
Tim McGraw and Faith Hill
Gina G
Merril Bainbridge
Allure feat. 112
New Edition
98 Degrees
Lil' Kim
Bone Thugs-N-Harmony
702
Celine Dion
Celine Dion
Somethin' For The People
No Mercy
Barbra Streisand and Bryan Adams
Foxy Brown feat. Jay-Z
Sheryl Crow
Dru Hill
Journey
Magoo And Timbaland
Toni Braxton
Sheryl Crow
Mc Lyte
Ginuwine
Sarah McLachlan
Donna Lewis
White Town
Coolio
Eric Clapton
B-Rock and The Bizz
Chumbawamba
R. Kelly
Az Yet
Various Artists
Heavy D
Total
Scarface
Montell Jordan
Bruce Springsteen
Aaliyah
Seal
Lil' Kim
Luscious Jackson
Los Del Rio
Erykah Badu
Joe
Warren G
Brian McKnight feat. Mase
Madonna
SWV
Michael Bolton
Real McCoy
Next
Mr. President
Keith Sweat
Aqua
Cranberries
DJ Kool
Blackout Allstars
Toni Braxton
Madonna
Ray J
Next
Brandy and Monica
Shania Twain
Savage Garden
LeAnn Rimes
Janet
K-Ci and JoJo
Elton John
Usher
Paula Cole
Third Eye Blind
Destiny's Child
Celine Dion
Will Smith
Usher
Usher
Mariah Carey
Monica
Puff Daddy and The Family
Sarah McLachlan
Jennifer Paige
Backstreet Boys
Aerosmith
Public Announcement
Faith Hill
Uncle Sam
Montell Jordan
Marcy Playground
Robyn
Boyz II Men
Mase
Madonna
Wyclef Jean
Lsg
Chumbawamba
Lord Tariq and Peter Gunz
'N Sync
Five
Jon B.
Master P
"Nicole feat. Missy ""Misdemeanor"" Elliott and Mocha"
All Saints
Janet
Mase
Voices Of Theory
Billie Myers
Puff Daddy
Sylk-E Fyne
Mya and Sisqo
Hanson
Barenaked Ladies
K.P. and Envyi
Xscape
Somethin' For The People
Tatyana Ali
Dru Hill
Third Eye Blind
Lisa Loeb
Mase
LeAnn Rimes
Divine
Backstreet Boys
Next
Inoj
Jimmy Ray
Ace Of Base
Master P
Puff Daddy and The Family
Spice Girls
Pras Feat. Ol' Dirty Bastard and Mya
Dru Hill feat. Redman
Kelly Price
Busta Rhymes
Edwin McCain
Madonna
Sister Hazel
Monifah
Lox
Verve
Busta Rhymes
Spice Girls
98 Degrees
Loreena McKennitt
Allure feat. 112
Big Punisher feat. Joe
Aaliyah
Jewel
Inoj
2Pac
Luke
Nu Flavor
Jd
"Missy ""Misdemeanor"" Elliott feat. Da Brat"
Next
Aretha Franklin
Boyz II Men
LL Cool J
Gerald Levert
Deborah Cox
TQ
Cher
TLC
Monica
Whitney Houston
Britney Spears
Sixpence None The Richer
Christina Aguilera
Sugar Ray
Deborah Cox
Ricky Martin
702
Jennifer Lopez
Goo Goo Dolls
Brandy
Backstreet Boys
R. Kelly and Celine Dion
Smash Mouth
Sarah McLachlan
Santana feat. Rob Thomas
TLC
Destiny's Child
Eagle-Eye Cherry
Pearl Jam
Maxwell
Backstreet Boys
Enrique Iglesias
Busta Rhymes feat. Janet
Everlast
Lenny Kravitz
Sugar Ray
Divine
Shania Twain
Will Smith feat. Dru Hill and Kool Moe Dee
Red Hot Chili Peppers
Mariah Carey feat. Jay-Z
Mariah Carey
98 Degrees
LFO
Jay-Z feat. Amil (Of Major Coinz) and Ja
Third Eye Blind
Lauryn Hill
Lou Bega
Tyrese
Whitney Houston
'N Sync
Shawn Mullins
112 feat. Lil' Zane
K-Ci and JoJo
Matchbox 20
Blaque
Tal Bachman
Ricky Martin
Will Smith
Jewel
JT Money feat. Sole
Tim McGraw
Shania Twain
Faith Evans
Jesse Powell
Total feat. Missy Elliott
Silk
Lauryn Hill
Jordan Knight
Goo Goo Dolls
Eric Benet feat. Tamia
Dru Hill
Mark Chesnutt
98 Degrees
98 Degrees
Sarah McLachlan
Chante Moore
Case
Whitney Houston
Faith Evans feat. Puff Daddy
Juvenile feat. Mannie Fresh and Lil' Wayne
Brandy
Shania Twain
Len
Marc Anthony
Ginuwine
Case and Joe
Brian McKnight
R. Kelly
Kenny Chesney
Lonestar
Britney Spears
Mo Thugs Family feat. Bone Thugs-N-Harmony
Fastball
Jay-Z
Naughty By Nature feat. Zhane
BLACKstreet and Mya feat. Mase and Blinky Blink
Joey McIntyre
Jo Dee Messina
Goo Goo Dolls
Puff Daddy feat. R. Kelly
Citizen King
'N Sync and Gloria Estefan
George Strait
Whitney Houston and Mariah Carey
Alabama feat. 'N Sync
Faith Hill
Santana feat. Rob Thomas
Santana feat. The Product GandB
Joe
Vertical Horizon
Destiny's Child
Savage Garden
Lonestar
matchbox twenty
Toni Braxton
Creed
Aaliyah
Destiny's Child
Sisqo
3 Doors Down
Pink
Madonna
Janet
Christina Aguilera
Brian McKnight
'N Sync
Marc Anthony
Marc Anthony
Montell Jordan
Sisqo
Macy Gray
'N Sync
Celine Dion
Nelly
Blaque
Backstreet Boys
"Missy Elliott feat. Nas, EVE and Q-Tip"
BBMak
Sonique
Nine Days
Creed
Enrique Iglesias
Christina Aguilera
Ruff Endz
Blink 182
Faith Hill
Christina Aguilera
Third Eye Blind
LeAnn Rimes
Mariah Carey feat. Joe and 98 Degrees
Jagged Edge
Whitney Houston
Smash Mouth
Eiffel 65
Sting feat. Cheb Mami
Eminem
Pink
Next
Everclear
Britney Spears
Jessica Simpson
98 Degrees
Filter
Red Hot Chili Peppers
Jay-Z feat. UGK
Son By Four
Jagged Edge
Avant
Carl Thomas
Donell Jones
soulDecision feat. Thrust
Kid Rock
Mystikal
Erykah Badu
Train
DMX
Mya
Dr. Dre feat. Eminem
Jo Dee Messina
Westlife
Dr. Dre feat. Snoop Dogg
Britney Spears
Savage Garden
Chad Brock
George Strait
Donell Jones
Toby Keith
Tim McGraw
Goo Goo Dolls
Da Brat feat. Tyrese
Kandi
Lee Ann Womack and Sons Of The Desert
Alice Deejay
Debelah Morgan
Lonestar
Sammie
Kevon Edmonds
LFO
Lil Bow Wow feat. Xscape
Dixie Chicks
Aaliyah
Destiny's Child
Samantha Mumba
Jennifer Lopez
Mary Mary
Lifehouse
Alicia Keys
Janet
Train
Jennifer Lopez feat. Ja Rule
matchbox twenty
Eve feat. Gwen Stefani
Dido
Lenny Kravitz
Destiny's Child
Blu Cantrell
"Shaggy feat. Ricardo ""RikRok"" Ducent"
Joe feat. Mystikal
Staind
Usher
Jagged Edge With Nelly
Shaggy feat. Rayvon
Nelly feat. City Spud
Uncle Kracker
112
Incubus
City High
Destiny's Child
"Christina Aguilera, Lil' Kim, Mya and Pink"
Outkast
Jennifer Lopez
Faith Hill
Dream
Crazy Town
Ja Rule feat. Lil' Mo and Vita
Mary J. Blige
Lee Ann Womack and Sons Of The Desert
Moby feat. Gwen Stefani
Madonna
"Missy ""Misdemeanor"" Elliott"
K-Ci and JoJo
Craig David
Janet
Creed
Mya
O-Town
Destiny's Child
Nelly Furtado
3 Doors Down
R. Kelly feat. Jay-Z
Sugar Ray
Aerosmith
Jagged Edge
Case
Ginuwine
'N Sync
Jay-Z
Lil' Mo feat. Fabolous
Evan And Jaron
Ricky Martin and Christina Aguilera
Jay-Z
"Missy ""Misdemeanor"" Elliott"
Mystikal feat. Nivea
Enya
Toya
S Club 7
Tamia
Jessica Simpson
Sunshine Anderson
Dave Matthews Band
Faith Hill
Musiq Soulchild
112
3LW
Nelly Furtado
Brooks and Dunn
Jennifer Lopez
Lonestar
Lil' Romeo
U2
Blake Shelton
Ludacris
Tim McGraw
Ja Rule feat. Case
Mariah Carey feat. Cameo
Isley Brothers feat. Ronald Isley AKA Mr. Biggs
Jessica Andrews
Erick Sermon feat. Marvin Gaye
Willa Ford
Kenny Chesney
Diamond Rio
R. Kelly
Travis Tritt
Trick Daddy
Eve 6
Toby Keith
Eden's Crush
Debelah Morgan
Outkast
Nelly
3 Doors Down
Pink
QB's Finest feat. Nas and Braveheart's
Enrique Iglesias
Fuel
Nickelback
Ashanti
Nelly
Nelly feat. Kelly Rowland
Calling
Vanessa Carlton
Linkin Park
Fat Joe feat. Ashanti
Usher
Puddle Of Mudd
Avril Lavigne
Ja Rule feat. Ashanti
Jennifer Lopez feat. Ja Rule
Jimmy Eat World
P. Diddy feat. Usher and Loon
Usher
Mary J. Blige
"P. Diddy and Ginuwine feat. Loon, Mario Winans and Tammy Ruggeri"
Eve feat. Alicia Keys
Creed
Eminem
Enrique Iglesias
Michelle Branch
Pink
Chad Kroeger feat. Josey Scott
Default
Creed
Shakira
Jennifer Lopez feat. Nas
Cam'ron feat. Juelz Santana
DJ Sammy and Yanou feat. Do
No Doubt feat. Bounty Killer
'N Sync feat. Nelly
Mario
Sheryl Crow
Pink
N.O.R.E.
Tweet
Kelly Clarkson
Truth Hurts feat. Rakim
Ashanti
John Mayer
Pink
"Irv Gotti Presents The Inc. feat. Ja Rule, Ashanti, Charli Baltimore and Vita"
Kylie Minogue
Five For Fighting
Eminem
Musiq
Mr. Cheeks
Big Tymers
Alicia Keys
Craig David
"Cam'ron feat. Juelz Santana, Freekey Zekey and Toya"
"Missy ""Misdemeanor"" Elliott"
Ludacris feat. Mystikal and Infamous 2.0
LeAnn Rimes
Enrique Iglesias
Aaliyah
No Doubt
Faith Evans
Daniel Bedingfield
Busta Rhymes feat. P. Diddy and Pharrell
Eminem
Michael Jackson
Brandy
Shakira
Mary J. Blige feat. Ja Rule
Ginuwine
Angie Martinez feat. Lil' Mo and Sacario
OutKast feat. Killer Mike
No Doubt feat. Lady Saw
City High feat. Eve
LL Cool J
Sean Paul
'N Sync
Ja Rule feat. Case
Ludacris
Goo Goo Dolls
Mary J. Blige
Dirty Vegas
Ashanti
Kenny Chesney
Fat Joe feat. R. Kelly
Steve Holy
Aaliyah
Alan Jackson
Jewel
Jaheim feat. Next
Brandy
B2K
Celine Dion
Nelly Furtado
George Strait
Toby Keith
Alanis Morissette
Avril Lavigne
Dixie Chicks
Alan Jackson
Justin Timberlake
Toya
50 Cent
R. Kelly
Sean Paul
Beyonce feat. Jay-Z
3 Doors Down
matchbox twenty
Chingy
Aaliyah
Kid Rock feat. Sheryl Crow
Evanescence feat. Paul McCoy
Lil Jon and The East Side Boyz feat. Ying Yang Twins
Beyonce feat. Sean Paul
"Nelly, P. Diddy and Murphy Lee"
50 Cent feat. Nate Dogg
Jennifer Lopez feat. LL Cool J
Christina Aguilera
Busta Rhymes and Mariah Carey feat. The Flipmode Squad
Avril Lavigne
Uncle Kracker feat. Dobie Gray
Lil' Kim feat. 50 Cent
50 Cent
B2K and P. Diddy
Fabolous feat. Tamia
Fabolous feat. Mike Shorey and Lil' Mo
Ja Rule feat. Ashanti
Black Eyed Peas
Santana feat. Michelle Branch
Eminem
Ashanti
Justin Timberlake
Tyrese
Justin Timberlake
Wayne Wonder
Pharrell feat. Jay-Z
Dixie Chicks
"Missy ""Misdemeanor"" Elliott"
Jay-Z feat. Beyonce Knowles
Nivea feat. Brian and Brandon Casey
Monica
"Nelly feat. Kyjuan, Ali and Murphy Lee"
Lumidee
Snoop Dogg feat. Pharrell and Uncle Charlie Wilson
"Missy ""Misdemeanor"" Elliott feat. Ludacris"
Kelly Clarkson
Train
YoungBloodZ feat. Lil Jon
Clay Aiken
John Mayer
Trapt
Ginuwine
Ludacris feat. Shawnna
Jason Mraz
Santana feat. Alex Band Or Chad Kroeger
Jay-Z
Jennifer Lopez feat. Styles and Jadakiss
Michelle Branch
Shania Twain
Nas
No Doubt feat. Lady Saw
Daniel Bedingfield
R. Kelly
3 Doors Down
50 Cent
Mya
Alan Jackson and Jimmy Buffett
Sean Paul
Christina Aguilera feat. Lil' Kim
Lonestar
Amanda Perez
Puddle Of Mudd
Frankie J
Lil' Kim feat. Mr. Cheeks
Jewel
Ginuwine feat. Baby
Toby Keith feat. Willie Nelson
Chingy feat. Ludacris and Snoop Dogg
Baby Bash feat. Frankie J
Erykah Badu feat. Common
Christina Aguilera
2Pac
Coldplay
Jaheim
Ashanti
Mark Wills
Young Gunz
Brooks and Dunn
Dierks Bentley
Ruben Studdard
Eminem
Darryl Worley
Kenny Chesney
Aaliyah
Field Mob
R. Kelly
Thalia feat. Fat Joe
Audioslave
Norah Jones
Eminem
Tim McGraw
Floetry
Usher feat. Lil Jon and Ludacris
Usher
Alicia Keys
Maroon 5
OutKast feat. Sleepy Brown
Hoobastank
Mario Winans feat. Enya and P. Diddy
OutKast
Ciara feat. Petey Pablo
Terror Squad
J-Kwon
Usher
Juvenile feat. Soulja Slim
Petey Pablo
3 Doors Down
Twista feat. Kanye West and Jamie Foxx
Nickelback
Beyonce
Evanescence
Lil' Flip feat. Lea
Jay-Z
Nina Sky feat. Jabba
Christina Milian
Usher And Alicia Keys
Chingy feat. J. Weav
Beyonce
Kevin Lyttle feat. Spragga Benz
Sheryl Crow
Alicia Keys
Nelly feat. Jaheim
Twista
Cassidy feat. R. Kelly
Linkin Park
Alicia Keys feat. Tony! Toni! Tone!
Maroon 5
Dido
Los Lonely Boys
No Doubt
Ashlee Simpson
JoJo
Kelis
Ludacris
Kanye West
Akon feat. Styles P.
Ludacris feat. Shawnna
Baby Bash feat. Frankie J
Kanye West feat. Syleena Johnson
Britney Spears
Ying Yang Twins feat. Lil Jon and The East Side Boyz
Jessica Simpson
Switchfoot
"Houston feat. Chingy, Nate Dogg and I-20"
Ruben Studdard
Avril Lavigne
Lloyd Banks
OutKast
Jagged Edge
Destiny's Child
D12
Sean Paul feat. Sasha
Kanye West
Jadakiss feat. Anthony Hamilton
Eamon
Avant
Lil' Flip
Finger Eleven
LL Cool J
YoungBloodZ feat. Lil Jon
Beyonce feat. Sean Paul
Lil Jon and The East Side Boyz feat. Ying Yang Twins
Snoop Dogg feat. Pharrell
Monica
Ryan Cabrera
Kelly Clarkson
Santana feat. Alex Band Or Chad Kroeger
Jet
Five For Fighting
R. Kelly
Linkin Park
Nick Cannon feat. R. Kelly
Tim McGraw
Alan Jackson
Britney Spears
Lloyd feat. Ashanti
Beenie Man feat. Ms. Thing
G-Unit feat. Joe
Chingy feat. Ludacris and Snoop Dogg
Black Eyed Peas
Kenny Chesney and Uncle Kracker
Toby Keith
Jay-Z
Avril Lavigne
Keith Urban
R. Kelly
Black Eyed Peas
Nelly feat. Tim McGraw
Gretchen Wilson
Eminem
John Michael Montgomery
Kenny Chesney
Mariah Carey
Gwen Stefani
Mario
Kelly Clarkson
Ciara feat. Missy Elliott
Kanye West feat. Jamie Foxx
Green Day
50 Cent feat. Olivia
Pussycat Dolls feat. Busta Rhymes
Kelly Clarkson
50 Cent
Lifehouse
Black Eyed Peas
Missy Elliott feat. Ciara and Fat Man Scoop
Mariah Carey
Killers
50 Cent
Rihanna
Game feat. 50 Cent
Weezer
Ciara feat. Ludacris
Rob Thomas
Snoop Dogg feat. Pharrell
Game feat. 50 Cent
Lil Jon and The East Side Boyz feat. Usher and Ludacris
Destiny's Child feat. T.I. and Lil Wayne
Kelly Clarkson
Will Smith
Bow Wow feat. Omarion
Bow Wow feat. Ciara
Gwen Stefani feat. Eve
Black Eyed Peas
Frankie J feat. Baby Bash
Usher
D.H.T.
Papa Roach
Gorillaz
3 Doors Down
Green Day
Fall Out Boy
Pretty Ricky
Chris Brown
Nickelback
Akon
Howie Day
Green Day
Bobby Valentino
Nelly feat. Tim McGraw
Trillville feat. Cutty
Fat Joe feat. Nelly
David Banner
Young Jeezy feat. Akon
Ludacris feat. Bobby Valentino
Usher And Alicia Keys
"Trick Daddy feat. Ludacris, Lil' Kim and Cee-Lo"
Alicia Keys
Coldplay
Gavin DeGraw
Eminem
Shakira feat. Alejandro Sanz
Maroon 5
Baby Bash feat. Akon
Ying Yang Twins
Backstreet Boys
T.I.
Destiny's Child
Amerie
Foo Fighters
Mariah Carey
Natalie
Carrie Underwood
Kelly Clarkson
Fantasia
Pretty Ricky
Jesse McCartney
Gwen Stefani
Ludacris
50 Cent feat. Mobb Deep
T.I.
Natasha Bedingfield
Black Eyed Peas
Jennifer Lopez
John Mayer
Toby Keith
Brooke Valentine feat. Lil Jon and Big Boi
Destiny's Child
John Legend
Sean Paul
Click Five
Ryan Cabrera
Omarion
Mike Jones
Jay-Z/Linkin Park
Ja Rule feat. R. Kelly and Ashanti
T-Pain
Gavin DeGraw
112 feat. Foxy Brown
Faith Hill
Ludacris
Webbie feat. Bun B
Daniel Powter
Sean Paul
Nelly Furtado feat. Timbaland
James Blunt
Shakira feat. Wyclef Jean
Natasha Bedingfield
Gnarls Barkley
Chamillionaire feat. Krayzie Bone
Justin Timberlake
Beyonce feat. Slim Thug
Mary J. Blige
"Nelly feat. Paul Wall, Ali and Gipp"
Fray
Cassie
Pussycat Dolls feat. Snoop Dogg
Chris Brown
Ne-Yo
Yung Joc
Rihanna
Panic! At The Disco
All-American Rejects
Fergie
Red Hot Chili Peppers
Lil Jon feat. E-40 and Sean Paul Of The YoungBloodZ
Dem Franchize Boyz feat. Lil Peanut and Charlay
Rascal Flatts
Fray
Rihanna
Snow Patrol
Hinder
Cascada
Christina Aguilera
Fall Out Boy
Kanye West feat. Jamie Foxx
Ludacris feat. Pharrell
Bubba Sparxxx feat. Ying Yang Twins and Mr. ColliPark
Sean Paul feat. Keyshia Cole
Nickelback
Kelly Clarkson
Pussycat Dolls
T-Pain feat. Mike Jones
Black Eyed Peas
Fort Minor feat. Holly Brook
Chris Brown
Kelly Clarkson
D4L
T.I.
All-American Rejects
Nickelback
Mariah Carey
Ne-Yo
E-40 feat. T-Pain and Kandi Girl
Nickelback
Nick Lachey
Field Mob feat. Ciara
Cherish feat. Sean Paul Of The YoungBloodZ
KT Tunstall
Juelz Santana
Young Dro feat. T.I.
Jamie Foxx feat. Ludacris
Justin Timberlake feat. T.I.
Eminem feat. Nate Dogg
Chingy feat. Tyrese
Kelis feat. Too $hort
Jibbs
Akon feat. Eminem
Ray J
Fall Out Boy
Chris Brown feat. Lil' Wayne
Yung Joc feat. Brandy 'Ms. B.' Hambrick
Bon Jovi
JoJo
Busta Rhymes
Daddy Yankee
Beyonce feat. Jay-Z
Rascal Flatts
Evanescence
Carrie Underwood
Danity Kane
Ciara feat. Chamillionaire
Sean Paul
Blue October
Lifehouse
Pussycat Dolls feat. will.i.am
"Dem Franchize Boyz feat. Jermaine Dupri, Da Brat and Bow Wow"
Chris Brown
John Mayer
Young Jeezy feat. Akon
Black Eyed Peas
Eminem
Madonna
Three 6 Mafia feat. Young Buck and Eightball and MJG
Keyshia Cole
Ne-Yo
T.I.
Pink
Gorillaz
T-Pain
Taylor Hicks
Teddy Geiger
Beyonce
Rihanna feat. Jay-Z
Gwen Stefani feat. Akon
Fergie
T-Pain feat. Yung Joc
Carrie Underwood
Plain White T's
Akon feat. Snoop Dogg
Nelly Furtado
Fergie feat. Ludacris
Akon
Avril Lavigne
Maroon 5
Shop Boyz
Akon feat. Eminem
Mims
Daughtry
Timbaland feat. Keri Hilson
Fergie
Soulja Boy Tell'em
Timbaland feat. Nelly Furtado and Justin Timberlake
Justin Timberlake
Gym Class Heroes feat. Patrick Stump
Fray
Daughtry
Justin Timberlake feat. T.I.
Kanye West
Jim Jones
Pink
Unk
Sean Kingston
Fall Out Boy
T-Pain feat. Akon
Huey
Ludacris feat. Mary J. Blige
Nickelback
Fall Out Boy
Linkin Park
Justin Timberlake
Lloyd feat. Lil' Wayne
Elliott Yamin
Diddy feat. Keyshia Cole
Fat Joe feat. Lil Wayne
Fabolous feat. Ne-Yo
Omarion
Hinder
John Mayer
Robin Thicke
R. Kelly Or Bow Wow (feat. T.I. and T-Pain)
Nickelback
Lloyd
Red Jumpsuit Apparatus
Baby Boy Da Prince feat. Lil Boosie
Bow Wow feat. Chris Brown and Johnta Austin
All-American Rejects
Hurricane Chris
Ne-Yo
Bone Thugs-N-Harmony feat. Akon
My Chemical Romance
Plies feat. T-Pain
Snow Patrol
Beyonce and Shakira
Justin Timberlake
Avril Lavigne
Keyshia Cole feat. Missy Elliott and Lil Kim
Timbaland feat. OneRepublic
Colbie Caillat
Ciara
Pink
Kelly Clarkson
Ciara
J. Holiday
Rich Boy feat. Polow Da Don
Amy Winehouse
T.I.
Alicia Keys
Boys Like Girls
Unk
Paula DeAnda feat. The DEY
Young Jeezy feat. R. Kelly
Hellogoodbye
Pretty Ricky
Gwen Stefani
Baby Bash feat. T-Pain
Rihanna and Sean Paul
Lifehouse
50 Cent feat. Justin Timberlake and Timbaland
Bow Wow feat. T-Pain and Johnta Austin
Taylor Swift
Rihanna
Red Hot Chili Peppers
Ludacris feat. Pharrell
Chris Brown feat. T-Pain
Nickelback
Crime Mob feat. Lil Scrappy
Justin Timberlake
Hinder
Finger Eleven
Snoop Dogg feat. R. Kelly
R. Kelly and Usher
Flo Rida feat. T-Pain
Leona Lewis
Alicia Keys
Lil Wayne feat. Static Major
Timbaland feat. OneRepublic
Jordin Sparks feat. Chris Brown
Sara Bareilles
Usher feat. Young Jeezy
Chris Brown
Chris Brown
Ray J and Yung Berg
Rihanna
Coldplay
Katy Perry
T.I.
Rihanna
Rihanna
Natasha Bedingfield
Chris Brown feat. T-Pain
Ne-Yo
