Skeeter Davis
Barbara Lewis
Ronettes
Roy Orbison
Orlons
Henry Mancini
Major Lance
Four Seasons
Bill Anderson
Bobby Vinton
Garnet Mimms and The Enchanters
Lou Christie
Ray Charles
Crystals
Shirelles
Lonnie Mack
Roy Orbison
Kai Winding
Rick Nelson
Brenda Lee
Bill Pursell
Tony Bennett
Miracles
Jaynetts
Sam Cooke
Crystals
Elvis Presley
Nat King Cole
Jackie Wilson
Marvin Gaye
Rufus Thomas
Ned Miller
Drifters
Johnny Mathis
Jan Bradley
Bobby Vee
Cookies
Johnny Cash
Doris Troy
Allan Sherman
Lesley Gore
Rolf Harris
Miracles
Dion
Nat King Cole
Sam Cooke
Al Martino
Dixiebelles With Cornbread and Jerry
Steve Lawrence
Ray Charles
Sunny and The Sunglows
Martha and The Vandellas
Elvis Presley
Dee Dee Sharp
Beach Boys
Chiffons
Bobby Bare
Del Shannon
Beatles
Beatles
Louis Armstrong
Roy Orbison
Beach Boys
Dean Martin
Mary Wells
Gale Garnett
J. Frank Wilson and The Cavaliers
Supremes
Barbara Streisand
Al Hirt
Beatles
Beatles
Manfred Mann
Beatles
Martha and The Vandellas
Billy J. Kramer and The Dakotas
Ray Charles Singers
Drifters
Dixie Cups
Terry Stafford
Dave Clark Five
Four Seasons
Four Seasons
Newbeats
Gene Pitney
Jan and Dean
Jay and The Americans
Peter and Gordon
Honeycombs
Serendipity Singers
Supremes
Betty Everett and Jerry Butler
Dusty Springfield
Lesley Gore
Dionne Warwick
Animals
Ronny and The Daytona
Beatles
Johnny Rivers
Danny Williams
Rip Chords
Betty Everett
Dave Clark Five
Millie Small
Major Lance
Jan and Dean
Gerry and The Pacemakers
Chad and Jeremy
Stan Getz and Astrud Gilberto
Beatles
Shangri-Las
Bobby Freeman
Beatles
Impressions
Four Tops
Diane Renay
Bachelors
Marketts
Hondells
Bobby Goldsboro
Dave Clark Five
Reflections
Rick Nelson
New Christy Minstrels
Dave Clark Five
Shangri-Las
Joe Hinton
Temptations
Dionne Warwick
Al Martino
Roy Orbison
Four Seasons
Trashmen
Tams
Dean Martin
Kinks
Sammy Davis Jr.
Impressions
Jelly Beans
Roger Miller
Roger Miller
Al Hirt
Nancy Wilson
Kingsmen
Searchers
Tommy Tucker
