Year,Artist(s),Work,Winner/Nominee
2005,Los Lonely Boys,Heaven,Nominee
2005,Usher featuring Lil Jon & Ludacris,Yeah,Nominee
2006,Green Day,Boulevard of Broken Dreams,Winner
2006,Mariah Carey,We Belong Together,Nominee
2006,Gorillaz,Feel Good Inc.,Nominee
2006,Gwen Stefani,Hollaback Girl,Nominee
2006,Kanye West,Gold Digger,Nominee
2007,Dixie Chicks,Not Ready to Make Nice,Winner
2007,Mary J. Blige,Be Without You,Nominee
2007,James Blunt,You're Beautiful,Nominee
2007,Gnarls Barkley,Crazy,Nominee
2007,Corinne Bailey Rae,Put Your Records On,Nominee
2008,Amy Winehouse,Rehab,Winner
2008,Beyoncé,Irreplaceable,Nominee
2008,Foo Fighters,The Pretender,Nominee
2008,Rihanna featuring Jay-Z,Umbrella,Nominee
2008,Justin Timberlake,What Goes Around …Comes Around,Nominee
2009,Alison Krauss and Robert Plant,Please Read the Letter,Winner
2009,Adele,Chasing Pavements,Nominee
2009,Coldplay,Viva la Vida,Nominee
2009,Leona Lewis,Bleeding Love,Nominee
2009,M.I.A.,Paper Planes,Nominee
2010,Kings of Leon,Use Somebody,Winner
2010,Beyoncé,Halo,Nominee
2010,The Black Eyed Peas,I Gotta Feeling,Nominee
2010,Lady Gaga,Poker Face,Nominee
2010,Taylor Swift,You Belong with Me,Nominee
2011,Lady Antebellum,Need You Now,Winner
2011,B.o.B featuring Bruno Mars,Nothin' on You,Nominee
2011,Eminem featuring Rihanna,Love The Way You Lie,Nominee
2011,Cee Lo Green,Fuck You,Nominee
2011,Jay-Z featuring Alicia Keys,Empire State of Mind,Nominee
2012,Adele,Rolling in the Deep,Winner
2012,Bon Iver,Holocene,Nominee
2012,Bruno Mars,Grenade,Nominee
2012,Mumford & Sons,The Cave,Nominee
2012,Katy Perry,Firework,Nominee
2013,Gotye featuring Kimbra,Somebody That I Used to Know,Winner
2013,The Black Keys,Lonely Boy,Nominee
2013,Kelly Clarkson,Stronger (What Doesn't Kill You),Nominee
2013,fun. featuring Janelle Monáe,We Are Young,Nominee
2013,Frank Ocean,Thinkin Bout You,Nominee
2013,Taylor Swift,We Are Never Ever Getting Back Together,Nominee
2014,Daft Punk featuring Pharrell Williams & Nile Rodgers,Get Lucky,Winner
2014,Imagine Dragons,Radioactive,Nominee
2014,Lorde,Royals,Nominee
2014,Bruno Mars,Locked Out of Heaven,Nominee
2014,Robin Thicke featuring T.I. & Pharrell Williams,Blurred Lines,Nominee
2015,Sam Smith,"Stay with Me"" (Darkchild version) ",Winner
2015,Iggy Azalea featuring Charli XCX,Fnacy,Nominee
2015,Sia,Chandelier,Nominee
2015,Taylor Swift,Shake It Off,Nominee
2015,Meghan Trainor,All About That Bass,Nominee
2016,Mark Ronson featuring Bruno Mars,Uptown Funk,Winner
2016,D'Angelo & The Vanguard,Really Love,Nominee
2016,Ed Sheeran,Thiking Out Loud,Nominee
2016,Taylor Swift,Blank Space,Nominee
2016,The Weeknd,Can't Feel My Face,Nominee
