Ghost Town,Adam Lambert,318096
Gonna,Blake Shelton,1041686
Watch Me,Silento,149403
Been You,Justin Bieber,5696916
Wasted Time,Keith Urban,452710
Crash And Burn,Thomas Rhett,174847
Renegades,X Ambassadors,230799
Same Old Love,Selena Gomez,2212522
Look At My Dab,Migos,378655
In The Night,The Weeknd,3280452
Hype,Drake,5801316
Nobody To Blame,Chris Stapleton,205125
Wild Things,Alessia Cara,427038
Loving You Easy,Zac Brown Band,664985
Black Magic,Little Mix,1029248
That Don't Sound Like You,Lee Brice,226191
Irresistible,Fall Out Boy,2062663
Might Be,DJ Luke Nasty,3708
Sorry,Rick Ross Featuring Chris Brown,707449
Freedom,Beyonce Featuring Kendrick Lamar,4506740
Let It Go,James Bay,735658
What Do You Mean?,Justin Bieber,5696916
Really Really,Kevin Gates,532806
Digits,Young Thug,443123
When Doves Cry,Prince,758817
Plastic Bag,Drake & Future,5801317
We Went,Randy Houser,63043
Prisoner,The Weeknd Featuring Lana Del Rey,3280452
Like I Would,Zayn,850916
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,315551
Earned It (Fifty Shades Of Grey),The Weeknd,3280452
Light It Up,Major Lazer Featuring Nyla,1125680
Controlla,Drake,5801317
Go Flex,Post Malone,194069
Church Bells,Carrie Underwood,750999
Uber Everywhere,MadeinTYO,16663
Change Locations,Drake & Future,5801317
100,The Game Featuring Drake,592347
My Boo,Ghost Town DJ's,?
Jingle Bell Rock,Bobby Helms,5746
Body,Dreezy Featuring Jeremih,15765
Bang My Head,David Guetta Featuring Sia & Fetty Wap,7638378
Gotta Lotta,2 Chainz Featuring Lil Wayne,740598
Weston Road Flows,Drake,5801317
Ginza,J Balvin,636692
Childs Play,Drake,5801317
Don't,Bryson Tiller,583994
Blackstar,David Bowie,1340564
My Church,Maren Morris,19893
She's Kinda Hot,5 Seconds Of Summer,1874878
Be Alright,Ariana Grande,3836842
Still Here,Drake,5801317
From The Ground Up,Dan + Shay,72637
Backroad Song,Granger Smith,32377
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,587765
Pt. 2,Kanye West,3387214
Downtown,Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz,1642223
Lean On,Major Lazer & DJ Snake Featuring M0,1125680
Somebody To Love,Jordan Smith,18566
Right Hand,Drake,5801317
Hold Each Other,A Great Big World Featuring FUTURISTIC,182030
Whisper,Chase Rice,87826
Wicked,Future,1158229
Cool For The Summer,Demi Lovato,2217670
Blessings,Chance The Rapper,476656
The Feeling,Justin Bieber Featuring Halsey,5696922
Hallelujah,Jordan Smith,18566
I Took A Pill In Ibiza,Mike Posner,297624
Alive,Sia,2023544
Already Callin' You Mine,Parmalee,24641
Messin' Around,Pitbull Featuring Enrique Iglesias,2954664
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,129789
Random,G-Eazy,1074080
Bake Sale,Wiz Khalifa Featuring Travi$ Scott,3103495
Temporary Fix,One Direction,5145103
Halo,Jordan Smith,18566
Let Me See Ya Girl,Cole Swindell,77343
Panda,Desiigner,77283
Uptown Funk!,Mark Ronson Featuring Bruno Mars,307521
Smoke Break,Carrie Underwood,750999
See You Again,Wiz Khalifa Featuring Charlie Puth,3103495
Come Get Her,Rae Sremmurd,613627
Save It For A Rainy Day,Kenny Chesney,547061
Beautiful Drug,Zac Brown Band,664985
Jersey,Future,1158229
Antidote,Travi$ Scott,321277
Remedy,Adele,4714810
Wake Up,Fetty Wap,1379635
Burning House,Emily Ann Roberts,1677
Jumpman,Drake & Future,5801317
American Country Love Song,Jake Owen,263125
Come And See Me,PARTYNEXTDOOR Featuring Drake,341697
Under Pressure,Queen & David Bowie,2423032
The Fighter,Keith Urban Featuring Carrie Underwood,452710
Hell Of A Night,Dustin Lynch,96794
Forward,Beyonce Featuring James Blake,4506745
House Party,Sam Hunt,411081
You Don't Own Me,Grace Featuring G-Eazy,822233
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,1374643
My Way,Fetty Wap Featuring Monty,1379637
U With Me?,Drake,5801317
Photograph,Ed Sheeran,5938364
Want To Want Me,Jason Derulo,1914239
I'm The Plug,Drake & Future,5801317
Hold My Hand,Jess Glynne,294618
Kick The Dust Up,Luke Bryan,1147103
Feedback,Kanye West,3387214
H.O.L.Y.,Florida Georgia Line,522671
The Hills,The Weeknd,3280457
Wildest Dreams,Taylor Swift,4381343
Good For You,Selena Gomez Featuring A$AP Rocky,2212527
Raspberry Beret,Prince And The Revolution,?
This Could Be Us,Rae Sremmurd,613627
Can't Feel My Face,The Weeknd,3280457
Ultralight Beam,Kanye West,3387214
Mary Did You Know,Jordan Smith,18566
Team,Iggy Azalea,1514206
Sorry Not Sorry,Bryson Tiller,583994
Kiss,Prince And The Revolution,?
It's You,Zayn,850917
True Colors,Zedd & Kesha,901548
Me Too,Meghan Trainor,1374643
Gonna Wanna Tonight,Chase Rice,87826
Scholarships,Drake & Future,5801317
Thinking Out Loud,Ed Sheeran,5938364
New Level,A$AP Ferg Featuring Future,287454
Digital Dash,Drake & Future,5801317
Comfortable,K Camp,214704
Lay It All On Me,Rudimental Featuring Ed Sheeran,527245
Faded,Alan Walker,200700
If It Ain't Love,Jason Derulo,1914240
All The Way Up,Fat Joe & Remy Ma Featuring French Montana & Infared,87815
Dark Times,The Weeknd Featuring Ed Sheeran,3280457
Top Of The World,Tim McGraw,473483
Piece By Piece,Kelly Clarkson,1160011
Real Life,Jake Owen,263125
Anything Goes,Florida Georgia Line,522672
Just Like Fire,P!nk,1682178
My House,Flo Rida,3834348
Send My Love (To Your New Lover),Adele,4714810
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,1430027
I Like The Sound Of That,Rascal Flatts,488336
I Don't Like It, I Love It,Flo Rida Featuring Robin Thicke & Verdine White,3834348
Cake By The Ocean,DNCE,210755
Get Used To Me,Justin Bieber,5696923
Might Not,Belly Featuring The Weeknd,10593
One Dance,Drake Featuring WizKid & Kyla,5801321
Diamonds Dancing,Drake & Future,5801321
Never Be Like You,Flume Featuring Kai,677506
Drunk On Your Love,Brett Eldredge,84206
9,Drake,5801321
Lazarus,David Bowie,1340568
Cecilia And The Satellite,Andrew McMahon In The Wilderness,47851
Sugar,Robin Schulz Featuring Francesco Yates,471638
Focus,Ariana Grande,3836848
Fly,Maddie & Tae,55353
Bad Blood,Taylor Swift Featuring Kendrick Lamar,4381343
Heartbeat,Carrie Underwood,751000
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,1147103
Alright,Kendrick Lamar,2460994
Can't Sleep Love,Pentatonix,1007795
6 Inch,Beyonce Featuring The Weeknd,4506746
Unsteady,X Ambassadors,230800
Adventure Of A Lifetime,Coldplay,5630503
Can't Stop The Feeling!,Justin Timberlake,2119432
Hello,Adele,4714810
Stitches,Shawn Mendes,1430027
Mind Reader,Dustin Lynch,96794
Fight Song,Rachel Platten,148348
Confident,Demi Lovato,2217671
Dibs,Kelsea Ballerini,47935
Roses,The Chainsmokers Featuring Rozes,569981
Olivia,One Direction,5145103
Country Nation,Brad Paisley,502671
Don't Hurt Yourself,Beyonce Featuring Jack White,4506746
Back Up,DeJ Loaf Featuring Big Sean,239772
Oui,Jeremih,515837
Should've Been Us,Tori Kelly,467289
Traveller,Chris Stapleton,205126
Views,Drake,5801324
Needed Me,Rihanna,6877032
Think Of You,Chris Young Duet With Cassadee Pope,?
Life Is Worth Living,Justin Bieber,5696923
oui,Jeremih,515837
Nothin' Like You,Dan + Shay,72637
Let Me Love You,Ariana Grande Featuring Lil Wayne,3836848
Low Life,Future Featuring The Weeknd,1158230
Here,Alessia Cara,427038
This Is What You Came For,Calvin Harris Featuring Rihanna,4553831
All The Way Up,Fat Joe & Remy Ma Featuring French Montana,87815
Where Ya At,Future Featuring Drake,1158230
Mark My Words,Justin Bieber,5696923
Die A Happy Man,Thomas Rhett,174848
Perfect,One Direction,5145103
Die A Happy Man,Nelly,437029
Victorious,Panic! At The Disco,1491698
Hollow,Tori Kelly,467289
Acquainted,The Weeknd,3280457
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,559310
Lonesome Broken And Blue,Adam Wakefield,292
The Christmas Song (Merry Christmas To You),Nat King Cole,228587
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,1230358
Lost Boy,Ruth B,99305
Hymn For The Weekend,Coldplay,5630505
Tell Your Friends,The Weeknd,3280457
Work,Rihanna Featuring Drake,6877032
Planes,Jeremih Featuring J. Cole,515839
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,223188
Uma Thurman,Fall Out Boy,2062663
Ex's & Oh's,Elle King,164646
New Americana,Halsey,909721
Flex (Ooh Ooh Ooh),Rich Homie Quan,398027
Big Rings,Drake & Future,5801325
Stick Talk,Future,1158230
679,Fetty Wap Featuring Remy Boyz,1379638
Company,Justin Bieber,5696927
Father Stretch My Hands Pt. 1,Kanye West,3387214
Hallelujah,Lindsey Stirling,634577
