title,spotify_id,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Good To Be Alive (Hallelujah),1fMEUGs5CvRv0VrcJlQITt,Andy Grammer,64,0.882,5,-3.646,1,0.0451,0.0377,0,0.65,0.702,120.017,189870,4
Humble And Kind,3Rkk851fZjIsglV2jbBPDd,Tim McGraw,75,0.486,11,-7.232,1,0.0289,0.693,1.73e-06,0.122,0.162,101.053,257360,3
The Fix,?,Nelly Featuring Jeremih,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Where Are U Now,66hayvUbTotekKU3H4ta1f,Skrillex & Diplo With Justin Bieber,87,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.191,139.432,250286,4
Confession,6IFPfV8PNSYOmufzQ95hmm,Florida Georgia Line,77,0.873,1,-5.056,1,0.0348,0.101,0.000131,0.176,0.457,104.986,190640,4
R.I.C.O.,?,Meek Mill Featuring Drake,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Runnin' (Lose It All),?,Naughty Boy Featuring Beyonce & Arrow Benjamin,?,?,?,?,?,?,?,?,?,?,?,?,?,?
When We Were Young,7A2eDNBgJrEVE87C8pOMqN,Adele,79,0.594,3,-5.97,1,0.0486,0.348,0,0.0925,0.275,143.86,290907,4
Say It,610BVUQMZpmt3eROWX9ZC1,Tory Lanez,79,0.521,11,-10.125,0,0.0551,0.0874,2.99e-06,0.21,0.274,107.299,236893,4
Sandcastles,1xXEZboBMUgaS1a6R0yvnh,Beyonce,20,0.068,10,-17.874,1,0.34,0.995,0.939,0.117,0.168,74.901,178445,1
Hands To Myself,1LoriJC05IrHIDwj3q0KC1,Selena Gomez,83,0.504,5,-7.218,0,0.0979,0.0165,5.25e-06,0.335,0.488,111.014,200680,4
Moolah,746PsZ5jTdqIJ6LgJAHcEZ,Young Greatness,79,0.568,4,-5.737,1,0.201,0.0261,0,0.3,0.243,64.049,204027,4
Hello Friday,?,Flo Rida Featuring Jason Derulo,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Cheap Thrills,?,Sia Featuring Sean Paul,?,?,?,?,?,?,?,?,?,?,?,?,?,?
I'd Just Love To Lay You Down,31mfhAKOC4q1qSUl8YqiIh,Barrett Baber,33,0.548,7,-6.438,1,0.0292,0.424,1.06e-05,0.0945,0.44,151.924,194813,4
I Would Die 4 U,6HHEoDvXsJE9OfWP8zuACO,Prince And The Revolution,17,0.523,2,-11.63,1,0.0321,0.0106,2.37e-06,0.178,0.121,137.267,152109,4
Used To Love You Sober,6V3wTb4VVDWRw3YEDgc6Py,Kane Brown,67,0.674,1,-6.053,1,0.0282,0.0405,0,0.339,0.425,147.978,181680,4
Gold,6ZSO7kPn8IMJFymyticbJO,Kiiara,91,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.409,113.049,225882,5
I Love This Life,2CIw1JCKA6exk5Mod3QJhA,LoCash,65,0.921,2,-3.051,1,0.052,0.0151,3.09e-06,0.129,0.588,111.99,210867,4
Promise,?,Kid Ink Featuring Fetty Wap,?,?,?,?,?,?,?,?,?,?,?,?,?,?
All Night,5DgLNORET0teNMHtRvRSFr,Beyonce,10,0.716,5,-5.109,1,0.0463,0.0517,0.00035,0.145,0.811,116.044,252612,4
Infinity,6N5xh0tYYLTQRiCCaNbAUt,One Direction,70,0.705,4,-6.073,1,0.0337,0.0687,0,0.0842,0.295,131.965,249480,4
Ain't Your Mama,2hgzdQdnfWwtdpZbhZlV72,Jennifer Lopez,88,0.678,8,-5.529,0,0.233,0.0472,9.14e-06,0.0654,0.815,120.075,218235,4
Came Here To Forget,1N7qGCKRRnvjoy8MGyHgpS,Blake Shelton,54,0.667,1,-6.874,0,0.029,0.356,1.29e-05,0.111,0.49,130.023,220413,4
Let's Go Crazy,0VtHhIPb2AaJypAXoMFmH1,Prince And The Revolution,22,0.587,11,-11.906,1,0.0339,0.00441,0.0146,0.273,0.533,98.026,278047,4
Untitled 07 l 2014 - 2016,?,Kendrick Lamar,?,?,?,?,?,?,?,?,?,?,?,?,?,?
30 for 30 Freestyle,1DmnEYXa4WfbdhAPwNzgD8,Drake,67,0.612,4,-9.151,0,0.434,0.654,0,0.124,0.284,91.47,253935,4
Drifting,?,G-Eazy Featuring Chris Brown & Tory Lanez,?,?,?,?,?,?,?,?,?,?,?,?,?,?
We Don't Talk Anymore,?,Charlie Puth Featuring Selena Gomez,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Kiss It Better,7bmqcI1HQwx1PWwYyZO0lg,Rihanna,76,0.812,3,-4.758,0,0.0483,0.273,0,0.0734,0.869,95.093,253080,4
No,3ge54HUrk1ht3EX5SMhIzZ,Meghan Trainor,86,0.802,1,-3.599,0,0.27,0.0125,1.45e-06,0.702,0.649,88.615,213507,4
Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,twenty one pilots,96,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.638,169.977,202333,4
Purpose,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,87,0.376,4,-9.954,1,0.453,0.856,0,0.285,0.559,102.541,233720,4
Lose My Mind,0dwudL6pM7zLO7MSUxMUYd,Brett Eldredge,64,0.755,6,-5.509,0,0.029,0.0206,0,0.21,0.837,101.048,155440,4
Worth It,?,Fifth Harmony Featuring Kid Ink,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,Chris Stapleton,77,0.369,9,-10.916,1,0.0317,0.17,0.00618,0.0808,0.443,101.624,293293,4
Something In The Way You Move,3ZCDG0nujwGfxrEmZlZoEt,Ellie Goulding,73,0.819,1,-6.118,0,0.0476,0.0419,0,0.114,0.313,108.985,227423,4
Wherever I Go,0KdwmtG44yIDpyie4b0jCn,OneRepublic,80,0.703,10,-6.414,0,0.0439,0.105,0,0.21,0.319,100.006,170213,4
Go Ahead And Break My Heart,?,Blake Shelton Featuring Gwen Stefani,?,?,?,?,?,?,?,?,?,?,?,?,?,?
God Only Knows,26BvbgWisvyequ09r52TDA,Jordan Smith & Adam Levine,36,0.573,6,-3.628,0,0.03,0.434,0,0.109,0.583,117.942,168560,4
Post To Be,?,Omarion Featuring Chris Brown & Jhene Aiko,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Redemption,6qGgrhiZ20Qrir3MNGUJq4,Drake,76,0.315,0,-8.736,1,0.104,0.607,1.81e-06,0.117,0.335,119.2,333947,4
Hasta El Amanecer,4wFHfY9IILHLNwakPuFogD,Nicky Jam,88,0.608,6,-6.046,0,0.0381,0.283,0,0.0855,0.598,94.0,197213,4
I'm Comin' Over,6W9W8dSswA8KNegvl3W97V,Chris Young,78,0.893,11,-3.588,1,0.0375,0.000937,0,0.111,0.548,111.959,218947,4
Firestone,?,Kygo Featuring Conrad,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Children,7sK3nu6yk8urQ44ouEB7Au,Justin Bieber,68,0.884,11,-4.67,0,0.338,0.0114,1.16e-06,0.203,0.33,126.977,223333,4
Feel No Ways,12C1XYFQGZYXRYJNbsgDc7,Drake,79,0.67,7,-7.077,1,0.164,0.0331,7.18e-06,0.109,0.223,193.8,240653,4
Honey, I'm Good.,4orphgwPHHRsdEkfUmANSD,Andy Grammer,70,0.796,9,-6.406,1,0.0576,0.0378,0,0.331,0.597,122.025,199263,4
Stay A Little Longer,6rqxivjFHp8K0yMiefG56g,Brothers Osborne,75,0.882,6,-5.515,1,0.0294,0.0408,0.241,0.146,0.537,97.006,335267,4
Classic Man,?,Jidenna Featuring Roman GianArthur,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Formation,0VCZ8tS4za4kEwJHbMNVnY,Beyonce,37,0.683,10,-6.148,0,0.0654,0.0452,1.74e-05,0.0583,0.63,122.988,387320,4
Get Ugly,1dl3vuXJS9anUXE7XnNP75,Jason Derulo,80,0.683,9,-4.829,0,0.12,0.0462,1.32e-06,0.297,0.566,111.066,200492,4
Keep The Family Close,0AAyo5bMIVgVxv9DF6XV2B,Drake,76,0.565,9,-7.663,0,0.073,0.137,0,0.381,0.204,76.278,328907,4
Death Of A Bachelor,1BECwm5qkaBwlbfo4kpYx8,Panic! At The Disco,77,0.538,0,-5.527,1,0.059,0.0137,0,0.429,0.385,139.256,203507,4
Huntin', Fishin' & Lovin' Every Day,6nUKELHbV6Tdj5OuQbksKH,Luke Bryan,76,0.809,0,-4.237,1,0.0335,0.141,2.31e-05,0.13,0.433,154.156,278640,4
Close,?,Nick Jonas Featuring Tove Lo,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Law,?,Yo Gotti Featuring E-40,?,?,?,?,?,?,?,?,?,?,?,?,?,?
If I Could Fly,5CRVwXGikmqzoRO6q7FeAg,One Direction,73,0.245,5,-9.132,1,0.0262,0.781,0,0.0998,0.3,75.055,230320,4
Roses,?,The Chainsmokers Featuring ROZES,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Drag Me Down,70OTIpw8x8UXUsuCHW9i1i,One Direction,76,0.711,0,-5.576,0,0.0378,0.0997,0,0.0528,0.6,138.098,192107,4
Buy Me A Boat,6y35xDJFzpy1FIa6qCMA59,Chris Janson,68,0.745,2,-6.663,1,0.0507,0.319,0,0.11,0.695,154.042,179078,4
Something New,?,Zendaya Featuring Chris Brown,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Jimmy Choo,7s49Um7G06hq2rulrHPsIy,Fetty Wap,78,0.646,11,-5.073,0,0.1,0.112,0,0.104,0.44,132.97,176855,4
Don't Mind,27PmvZoffODNFW2p7ehZTQ,Kent Jones,88,0.771,8,-4.503,1,0.336,0.0235,0,0.063,0.678,158.777,198237,4
Break Up With Him,5ZManJDV3CexO66nRCkdiV,Old Dominion,72,0.632,3,-5.382,1,0.0374,0.0685,0,0.108,0.561,152.035,207733,4
Fly S**t Only,1ANYHWUz5NqPu2EBALGK9Z,Future,70,0.733,2,-6.012,1,0.0313,0.43,2.35e-06,0.351,0.411,109.989,212760,4
Waves,4HKGV55ULdn3RLaKLsc2Ju,Kanye West,81,0.572,10,-4.52,1,0.0389,0.0408,4.32e-06,0.332,0.0523,96.066,181573,4
Sorry,09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,86,0.768,0,-3.724,0,0.0476,0.0865,0,0.308,0.396,100.209,200787,4
How Deep Is Your Love,22mek4IiqubGD9ctzxc69s,Calvin Harris & Disciples,88,0.868,11,-4.373,0,0.0731,0.0389,0.00171,0.388,0.334,122.003,212640,4
Love On The Brain,2aksifNn5ph8igDOkPBA02,Rihanna,72,0.641,4,-4.815,0,0.0456,0.0848,8.09e-06,0.073,0.385,171.957,224000,3
Writing's On The Wall,1PWnAEQcbwQwK759otUbta,Sam Smith,68,0.302,5,-8.188,0,0.0304,0.76,6.65e-06,0.0908,0.079,96.456,278987,3
Untitled 02 l 06.23.2014.,?,Kendrick Lamar,?,?,?,?,?,?,?,?,?,?,?,?,?,?
RGF Island,1iuljeYz6ZG3GTJOZZkoer,Fetty Wap,73,0.764,0,-5.066,0,0.0423,0.00116,8.19e-06,0.0867,0.503,137.98,173893,4
Hide Away,2hsza71y54ABzmabyNDtM4,Daya,83,0.826,11,-3.672,0,0.0854,0.222,2.29e-06,0.0719,0.474,94.997,192381,4
One Call Away,7soJgKhQTO8hLP2JPRkL5O,Charlie Puth,78,0.613,1,-5.353,1,0.0344,0.403,0,0.115,0.479,91.024,194453,4
Nothing But Trouble (Instagram Models),7rdjfrTBMNt3KaaGvSv3YG,Lil Wayne & Charlie Puth,73,0.691,6,-5.665,0,0.0324,0.0172,1.68e-05,0.194,0.24,126.002,217984,4
Home,0uZzdkuzJEjFzaRR2HQ5mj,One Direction,68,0.867,9,-5.397,1,0.0859,0.0115,0,0.0851,0.625,78.814,194907,4
WTF (Where They From),?,Missy Elliott Featuring Pharrell Williams,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Stand By You,3kSXn1osC89W8JcPLozTzs,Rachel Platten,75,0.897,9,-4.632,1,0.26,0.146,0.000451,0.0868,0.517,188.03,219000,4
Live From The Gutter,2uTG00P1DkhB97pdITkl2O,Drake & Future,72,0.493,4,-8.447,0,0.256,0.0319,1.83e-06,0.0804,0.288,83.008,211643,4
