song,artist,listeners,play count,,
Daddy Lessons,Beyonce,0,0,,
Love Me,The 1975,54770,294208,,
Liquor,Chris Brown,14830,69972,,
Thriller,Michael Jackson,945912,4665275,,
Real Friends,Kanye West,61953,380593,,
All I Want For Christmas Is You,Mariah Carey,545279,2473391,,
Record Year,Eric Church,4851,20584,,
Dessert,Dawin,30897,144086,,
Break Up In A Small Town,Sam Hunt,23244,140897,,
Down That Road,Alisan Porter,29,442,,
Dangerous Woman,Ariana Grande,90037,1215599,,
Ghost Town,Adam Lambert,116885,970569,,
Gonna,Blake Shelton,10665,46353,,
Watch Me,Silento,4083,21928,,
Been You,Justin Bieber,41736,192023,,
Wasted Time,Keith Urban,3990,28064,,
Crash And Burn,Thomas Rhett,20563,102069,,
Renegades,X Ambassadors,150370,888602,,
Same Old Love,Selena Gomez,123082,1139056,,
Look At My Dab,Migos,2975,9341,,
In The Night,The Weeknd,114910,614170,,
Hype,Drake,37399,138506,,
Nobody To Blame,Chris Stapleton,10962,39853,,
Wild Things,Alessia Cara,67583,298739,,
Loving You Easy,Zac Brown Band,17554,75787,,
Black Magic,Little Mix,90854,851756,,
That Don't Sound Like You,Lee Brice,8434,36743,,
Irresistible,Fall Out Boy,96829,677916,,
Might Be,DJ Luke Nasty,3928,10224,,
Sorry,Rick Ross Featuring Chris Brown,11031,32511,,
Freedom,Beyonce Featuring Kendrick Lamar,4004,28705,,
Let It Go,James Bay,179002,1051609,,
What Do You Mean?,Justin Bieber,237154,2283124,,
Really Really,Kevin Gates,12653,51231,,
Digits,Young Thug,15839,74741,,
When Doves Cry,Prince,340903,1379494,,
Plastic Bag,Drake & Future,?,?,,
We Went,Randy Houser,5749,28987,,
Prisoner,The Weeknd Featuring Lana Del Rey,47383,219317,,
Like I Would,Zayn,60994,358130,,
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,70,589,,
Earned It (Fifty Shades Of Grey),The Weeknd,73211,372888,,
Light It Up,Major Lazer Featuring Nyla,2665,12743,,
Controlla,Drake,42463,172830,,
Go Flex,Post Malone,8751,36133,,
Church Bells,Carrie Underwood,6020,40220,,
Uber Everywhere,MadeinTYO,13586,44245,,
Change Locations,Drake & Future,?,?,,
100,The Game Featuring Drake,1147,6287,,
My Boo,Ghost Town DJ's,19898,92494,,
Jingle Bell Rock,Bobby Helms,332922,892872,,
Body,Dreezy Featuring Jeremih,8340,20430,,
Bang My Head,David Guetta Featuring Sia & Fetty Wap,3599,19109,,
Gotta Lotta,2 Chainz Featuring Lil Wayne,7916,20876,,
Weston Road Flows,Drake,31515,110707,,
Ginza,J Balvin,41781,221418,,
Childs Play,Drake,27404,105646,,
Don't,Bryson Tiller,56726,297677,,
Blackstar,David Bowie,125011,455171,,
My Church,Maren Morris,10222,37061,,
She's Kinda Hot,5 Seconds Of Summer,37200,255097,,
Be Alright,Ariana Grande,43648,421322,,
Still Here,Drake,29737,111835,,
From The Ground Up,Dan + Shay,1,1,,
Backroad Song,Granger Smith,6414,30061,,
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,747,3171,,
Pt. 2,Kanye West,70172,435238,,
Downtown,Macklemore & Ryan Lewis Featuring Eric Nally,0,0,0,0
Lean On,Major Lazer & DJ Snake Featuring M0,?,?,,
Somebody To Love,Jordan Smith,101,300,,
Right Hand,Drake,36477,161990,,
Hold Each Other,A Great Big World Featuring FUTURISTIC,16768,73349,,
Whisper,Chase Rice,2888,8459,,
Wicked,Future,9295,27645,,
Cool For The Summer,Demi Lovato,133305,1684075,,
Blessings,Chance The Rapper,19534,95522,,
The Feeling,Justin Bieber Featuring Halsey,57795,271442,,
Hallelujah,Jordan Smith,56,201,,
I Took A Pill In Ibiza,Mike Posner,22454,144583,,
Alive,Sia,108596,773185,,
Already Callin' You Mine,Parmalee,5486,27100,,
Messin' Around,Pitbull Featuring Enrique Iglesias,10405,23686,,
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,89,394,,
Random,G-Eazy,16130,70397,,
Bake Sale,Wiz Khalifa Featuring Travi$ Scott,134,452,,
Temporary Fix,One Direction,15564,147724,,
Halo,Jordan Smith,59,319,,
Let Me See Ya Girl,Cole Swindell,11543,61991,,
Panda,Desiigner,79203,358912,,
Uptown Funk!,Mark Ronson Featuring Bruno Mars,878,3672,,
Smoke Break,Carrie Underwood,14590,90767,,
See You Again,Wiz Khalifa Featuring Charlie Puth,8650,71457,,
Come Get Her,Rae Sremmurd,38313,172430,,
Save It For A Rainy Day,Kenny Chesney,9194,36955,,
Beautiful Drug,Zac Brown Band,10153,47058,,
Jersey,Future,25852,109035,,
Antidote,Travi$ Scott,60118,380599,,
Remedy,Adele,45088,306585,,
Wake Up,Fetty Wap,7898,17294,,
Burning House,Emily Ann Roberts,94,1160,,
Jumpman,Drake & Future,0,0,,
American Country Love Song,Jake Owen,3534,11714,,
Come And See Me,PARTYNEXTDOOR Featuring Drake,260,1659,,
Under Pressure,Queen & David Bowie,?,?,,
The Fighter,Keith Urban Featuring Carrie Underwood,2168,5404,,
Hell Of A Night,Dustin Lynch,8239,44946,,
Forward,Beyonce Featuring James Blake,?,?,,
House Party,Sam Hunt,39481,187505,,
You Don't Own Me,Grace Featuring G-Eazy,43192,174562,,
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,86243,368768,,
My Way,Fetty Wap Featuring Monty,2189,12755,,
U With Me?,Drake,33619,119291,,
Photograph,Ed Sheeran,286739,2234348,,
Want To Want Me,Jason Derulo,0,0,,
I'm The Plug,Drake & Future,?,?,,
Hold My Hand,Jess Glynne,138224,846973,,
Kick The Dust Up,Luke Bryan,15527,74397,,
Feedback,Kanye West,73237,428417,,
H.O.L.Y.,Florida Georgia Line,5739,15255,,
The Hills,The Weeknd,237146,2000002,,
Wildest Dreams,Taylor Swift,96767,1524426,,
Good For You,Selena Gomez Featuring A$AP Rocky,151961,1207912,,
Raspberry Beret,Prince And The Revolution,90646,303825,,
This Could Be Us,Rae Sremmurd,56323,250969,,
Can't Feel My Face,The Weeknd,321460,2800265,,
Ultralight Beam,Kanye West,74508,440402,,
Mary Did You Know,Jordan Smith,73,251,,
Team,Iggy Azalea,33659,309228,,
Sorry Not Sorry,Bryson Tiller,18274,88949,,
Kiss,Prince And The Revolution,159110,511531,,
It's You,Zayn,31396,169085,,
True Colors,Zedd & Kesha,0,0,,
Me Too,Meghan Trainor,16695,104742,,
Gonna Wanna Tonight,Chase Rice,7190,36325,,
Scholarships,Drake & Future,?,?,,
Thinking Out Loud,Ed Sheeran,399300,3718386,,
New Level,A$AP Ferg Featuring Future,18123,63484,,
Digital Dash,Drake & Future,?,?,,
Comfortable,K Camp,13318,46119,,
Lay It All On Me,Rudimental Featuring Ed Sheeran,2688,14865,,
Faded,Alan Walker,131714,1000400,,
If It Ain't Love,Jason Derulo,0,0,,
All The Way Up,Fat Joe & Remy Ma Featuring French Montana & Infared,0,0,,
Dark Times,The Weeknd Featuring Ed Sheeran,70000,267349,,
Top Of The World,Tim McGraw,7996,33763,,
Piece By Piece,Kelly Clarkson,21249,165043,,
Real Life,Jake Owen,12917,44974,,
Anything Goes,Florida Georgia Line,13902,77950,,
Just Like Fire,P!nk,1774,17685,,
My House,Flo Rida,103373,511049,,
Send My Love (To Your New Lover),Adele,66372,472390,,
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,0,0,,
I Like The Sound Of That,Rascal Flatts,9517,35449,,
I Don't Like It, I Love It,1601,8042,8042,
Cake By The Ocean,DNCE,131217,865540,,
Get Used To Me,Justin Bieber,4764,25619,,
Might Not,Belly Featuring The Weeknd,13665,47387,,
One Dance,Drake Featuring WizKid & Kyla,104362,588252,,
Diamonds Dancing,Drake & Future,?,?,,
Never Be Like You,Flume Featuring Kai,39239,169949,,
Drunk On Your Love,Brett Eldredge,7925,34257,,
9,Drake,36175,123168,,
Lazarus,David Bowie,134750,541335,,
Cecilia And The Satellite,Andrew McMahon In The Wilderness,56770,268672,,
Sugar,Robin Schulz Featuring Francesco Yates,6389,34266,,
Focus,Ariana Grande,108368,924895,,
Fly,Maddie & Tae,0,0,,
Bad Blood,Taylor Swift Featuring Kendrick Lamar,95636,1455462,,
Heartbeat,Carrie Underwood,12378,85678,,
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,6887,29108,,
Alright,Kendrick Lamar,176187,1142718,,
Can't Sleep Love,Pentatonix,24748,134632,,
6 Inch,Beyonce Featuring The Weeknd,?,?,,
Unsteady,X Ambassadors,44721,189737,,
Adventure Of A Lifetime,Coldplay,192689,1344103,,
