title,spotify_id,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Firestone,?,Kygo Featuring Conrad,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Children,7sK3nu6yk8urQ44ouEB7Au,Justin Bieber,0.884
Feel No Ways,12C1XYFQGZYXRYJNbsgDc7,Drake,0.67
Honey, I'm Good.,4orphgwPHHRsdEkfUmANSD,Andy Grammer,0.796
Stay A Little Longer,6rqxivjFHp8K0yMiefG56g,Brothers Osborne,0.882
Classic Man,?,Jidenna Featuring Roman GianArthur,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Formation,0VCZ8tS4za4kEwJHbMNVnY,Beyonce,0.683
Get Ugly,1dl3vuXJS9anUXE7XnNP75,Jason Derulo,0.683
Keep The Family Close,0AAyo5bMIVgVxv9DF6XV2B,Drake,0.565
Death Of A Bachelor,1BECwm5qkaBwlbfo4kpYx8,Panic! At The Disco,0.538
Huntin', Fishin' & Lovin' Every Day,6nUKELHbV6Tdj5OuQbksKH,Luke Bryan,0.809
Close,?,Nick Jonas Featuring Tove Lo,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Law,?,Yo Gotti Featuring E-40,?,?,?,?,?,?,?,?,?,?,?,?,?,?
If I Could Fly,5CRVwXGikmqzoRO6q7FeAg,One Direction,0.245
Roses,?,The Chainsmokers Featuring ROZES,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Drag Me Down,70OTIpw8x8UXUsuCHW9i1i,One Direction,0.711
Buy Me A Boat,6y35xDJFzpy1FIa6qCMA59,Chris Janson,0.745
Something New,?,Zendaya Featuring Chris Brown,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Jimmy Choo,7s49Um7G06hq2rulrHPsIy,Fetty Wap,0.646
Don't Mind,27PmvZoffODNFW2p7ehZTQ,Kent Jones,0.771
Break Up With Him,5ZManJDV3CexO66nRCkdiV,Old Dominion,0.632
Fly S**t Only,1ANYHWUz5NqPu2EBALGK9Z,Future,0.733
Waves,4HKGV55ULdn3RLaKLsc2Ju,Kanye West,0.572
Sorry,09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,0.768
How Deep Is Your Love,22mek4IiqubGD9ctzxc69s,Calvin Harris & Disciples,0.868
Love On The Brain,2aksifNn5ph8igDOkPBA02,Rihanna,0.641
Writing's On The Wall,1PWnAEQcbwQwK759otUbta,Sam Smith,0.302
Untitled 02 l 06.23.2014.,?,Kendrick Lamar,?,?,?,?,?,?,?,?,?,?,?,?,?,?
RGF Island,1iuljeYz6ZG3GTJOZZkoer,Fetty Wap,0.764
Hide Away,2hsza71y54ABzmabyNDtM4,Daya,0.826
One Call Away,7soJgKhQTO8hLP2JPRkL5O,Charlie Puth,0.613
Nothing But Trouble (Instagram Models),7rdjfrTBMNt3KaaGvSv3YG,Lil Wayne & Charlie Puth,0.691
Home,0uZzdkuzJEjFzaRR2HQ5mj,One Direction,0.867
WTF (Where They From),?,Missy Elliott Featuring Pharrell Williams,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Stand By You,3kSXn1osC89W8JcPLozTzs,Rachel Platten,0.897
Live From The Gutter,2uTG00P1DkhB97pdITkl2O,Drake & Future,0.493
Famous,3KDmFRW19NHtxIeDnxdFBc,Kanye West,0.745
No Role Modelz,62vpWI1CHwFy7tMIcSStl8,J. Cole,0.521
Burning House,2zhk0kypGeOPsaaZcjyc14,Cam,0.253
Lights Come On,596ShP1KQsIzk7dTpJNXJi,Jason Aldean,0.855
1999,5yMp0quAWTb2lSEvWbAtqj,Prince,0.0862
Out Of The Woods,3P0OaRxvTJk1oWo7CAr4LN,Taylor Swift,0.826
Sorry,4k8Kq3yLE7I7umYfN08YCU,Beyonce,0.11
On My Mind,4nS1sut0R2mgmFitKIShVe,Ellie Goulding,0.687
Shut Up And Dance,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,0.866
Til It Happens To You,0bCCGLHflR08UVA6oJJc8I,Lady Gaga,0.558
Cheerleader,2XPc8gL9PwxGURQFcFaDJR,OMI,0.663
Never Enough,7rdP71W8x4UbJ0KAKBACbo,One Direction,0.779
Back To Back,5lFDtgWsjRJu8fPOAyJIAK,Drake,0.472
Summer Sixteen,17Q87zeXgsAi9iQQbMu9v0,Drake,0.455
Purple Rain,6syMtbMAZJnAkOeztOxbsH,Prince And The Revolution,0.278
Watch Out,22DKsoYFV5npPXmnPpXL7i,2 Chainz,0.509
2 Phones,0wdKiSBUT7aZkXUIdJWcwC,Kevin Gates,0.681
Little Bit Of You,1lNVii0jj5Sa1leKSYWMNl,Chase Bryant,0.863
With Them,0tISnxqgVmxqhVghsTi2Rr,Young Thug,0.517
Daddy Lessons,?,Beyonce,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Love Me,5hRzAbY2AAO258hL6oqsqO,The 1975,0.803
Liquor,2Xm00M3mcMcdSv7QJBhlvr,Chris Brown,0.346
Thriller,5ChkMS8OtdzJeqyybCc9R5,Michael Jackson,0.654
Real Friends,6C4j3qW5h6GjvF5FbcoBvz,Kanye West,0.752
All I Want For Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,0.625
Record Year,5fSPbm5lcwtqwXkeQQswW8,Eric Church,0.655
Dessert,2mqDi8BzmNw54qrVHduyiu,Dawin,0.791
Break Up In A Small Town,7aftSOGSOpSoIlVAQVBb71,Sam Hunt,0.789
Down That Road,3sS03NvxbrVgFNZgvnR26k,Alisan Porter,0.578
Dangerous Woman,7l94dyN2hX9c6wWcZQuOGJ,Ariana Grande,0.605
Ghost Town,44aN5xKL3kGHvQ5bXVk6B8,Adam Lambert,0.736
Gonna,57gS5wJqIH6sbtBIIiioNY,Blake Shelton,0.886
Watch Me,5RIVoVdkDLEygELLCniZFr,Silento,0.77
Been You,6gcA4zzG6FnMEgPSDKbAMs,Justin Bieber,0.794
Wasted Time,5BIwPoVMFnFIr8RzJunRvf,Keith Urban,0.827
Crash And Burn,6bZq9yf23N1xXVmNeyhDsb,Thomas Rhett,0.785
Renegades,0fYVliAYKHuPmECRs1pbRf,X Ambassadors,0.868
Same Old Love,1BZG99C7Co1r6QUC3zaS59,Selena Gomez,0.596
Look At My Dab,20n5AhSbetBMt6Xbrm4fa7,Migos,0.611
In The Night,25KybV9BOUlvcnv7nN3Pyo,The Weeknd,0.683
Hype,07GilNHSfS5oicUgHgU7VG,Drake,0.62
Nobody To Blame,4WRRCuJYRq7gUKiupxVH9W,Chris Stapleton,0.673
Wild Things,2ZyuwVvV6Z3XJaXIFbspeE,Alessia Cara,0.627
Loving You Easy,69XcvSymPaTke2Qb6f3W6P,Zac Brown Band,0.593
Black Magic,33NHr7lu7tCMjK05jUj1v0,Little Mix,0.898
That Don't Sound Like You,2l1fWY1albInvAG9t8WP2p,Lee Brice,0.589
Irresistible,3Y3gChJoEUTqrtuqJCIPQk,Fall Out Boy,0.897
Might Be,7KLB6Jptw9wyQXkSLiO8qh,DJ Luke Nasty,0.782
Sorry,?,Rick Ross Featuring Chris Brown,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Freedom,?,Beyonce Featuring Kendrick Lamar,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Let It Go,13HVjjWUZFaWilh2QUJKsP,James Bay,0.293
What Do You Mean?,4B0JvthVoAAuygILe3n4Bs,Justin Bieber,0.571
Really Really,10I3CmmwT0BkOVhduDy53o,Kevin Gates,0.666
Digits,4cg1yakyRSIOjxKM2I7J1q,Young Thug,0.632
When Doves Cry,77GLApi9hqJKMYEe8QybtA,Prince,0.102
Plastic Bag,76kyKtPLsFbQkdQ86QrkF4,Drake & Future,0.471
