Surrender,Elvis Presley,1088162
Little Sister,Elvis Presley,1088162
(Marie's The Name) His Latest Flame,Elvis Presley,1088162
Mother-In-Law,Ernie K-Doe,804
Walk Right Back,Everly Brothers,51500
Hello Walls,Faron Young,4570
Let The Four Winds Blow,Fats Domino,45428
Wings Of A Dove,Ferlin Husky,1951
Exodus,Ferrante and Teicher,1437
On The Rebound,Floyd Cramer,3234
San Antonio Rose,Floyd Cramer,3234
More Money For You And Me Medley,Four Preps,456
The Second Time Around,Frank Sinatra ,1078273
School Is Out,"Gary ""U.S."" Bonds",1882
Quarter To Three,"Gary ""U.S."" Bonds",1882
A Hundred Pounds Of Clay,Gene Mcdaniels,611
Michael,Highwaymen,26578
It's Gonna Work Out Fine,Ike and Tina Turner,29249
Big Bad John,Jimmy Dean,3433
My True Story,Jive Five,512
Without You,Johnny Tillotson,4199
Apache,Jorgen Ingmann,172
Asia Minor,Kokomo,419
Calcutta,Lawrence Welk,1484
Ya Ya,Lee Dorsey,5576
The Way You Look Tonight,Lettermen,3531
Don't Bet Money Honey,Linda Scott,792
I've Told Every Little Star,Linda Scott,792
Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight),Lonnie Donegan,5489
Blue Moon,Marcels,3852
Last Night,Mar-Keys,1915
Don't Worry,Marty Robbins,29250
My Kind Of Girl,Matt Monroe,?
Shop Around,Miracles,60855
Calendar Girl,Neil Sedaka,24110
I Love How You Love Me,Paris Sisters,377
Moody River,Pat Boone,15533
I Fall To Pieces,Patsy Cline,89744
"Tonight My Love, Tonight",Paul Anka,40176
One Mint Julep,Ray Charles,377439
Hit The Road Jack,Ray Charles,377439
Missing You,Ray Peterson,1537
Travelin' Man,Ricky Nelson,28829
Hello Mary Lou,Ricky Nelson,28829
Angel Baby,Rosie and The Originals,4037
Cryin',Roy Orbison,145877
Running Scared,Roy Orbison,145877
Daddy's Home,Shep and The Limelites,207
Will You Love Me Tomorrow,Shirelles,17256
Dedicated To The One I Love,Shirelles,17256
Mama Said,Shirelles,17256
(Up a) Lazy River,Si Zentner,150
Portrait Of My Love,Steve Lawrence,1353
Wheels,String-a-longs,251
Sad Movies (Make Me Cry),Sue Thompson,751
Hurt,Timi Yuro,3506
Bless You,Tony Orlando,1423
This Time,Troy Shondell,124
Tuff,Ace Cannon,578
I Know,Barbara George,153
You'll Lose A Good Thing,Barbara Lynn,2841
Surfin' Safari,Beach Boys,509219
Alley Cat,Bent Fabric,315
Percolator (Twist),Billy Joe and The Checkmates,11
A Swingin' Safari,Billy Vaughn,3773
Things,Bobby Darin,39930
I'll Never Dance Again,Bobby Rydell,1951
Roses Are Red (My Love),Bobby Vinton,14414
Green Onions,Booker T and The MG's,30141
Break It To Me Gently,Brenda Lee,27192
Everybody Loves Me But You,Brenda Lee,27192
Sealed With A Kiss,Brian Hyland,3030
Hey! Baby,Bruce Channel,2430
Funny Way Of Laughin',Burl Ives,9378
A Little Bitty Tear,Burl Ives,9378
Let's Dance,Chris Montez,1927
Slow Twistin',Chubby Checker,21959
Wolverton Mountain,Claude King,422
Party Lights,Claudine Clark,114
"Lover, Please",Clyde Mcphatter,2328
Don't Break The Heart That Loves You,Connie Francis,26697
Smoky Places,Corsairs,4
Uptown,Crystals,16366
Rinky Dink,"Dave ""Baby"" Cortez",401
The Stripper,David Rose,31
Mashed Potato Time,Dee Dee Sharp,1212
Gravy,Dee Dee Sharp,1212
Patches,Dickie Lee,72
Little Diane,Dion,622867
Lovers Who Wander,Dion,622867
The Wanderer,Dion,622867
What's Your Name,Don and Juan,147
You Belong To Me,Duprees,1242
"(Girls, Girls, Girls) Were Made To Love",Eddie Hodges,551
Can't Help Falling In Love,Elvis Presley,1088162
Good Luck Charm,Elvis Presley,1088162
Shout! Shout! (Knock Yourself Out),Ernie Maresca,101
Crying In The Rain,Everly Brothers,51500
Sherry,Four Seasons,94580
Palisades Park,Freddy Cannon,1115
"Twist, Twist Senora",Gary U.S. Bonds,1882
Dear Lady Twist,Gary U.S. Bonds,1882
