song_title,spotify_id,artist,year,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,word_count,reading_ease,polarity,subjectivity,followers,listeners,play_count,is_winner,is_nominee,winner_score,weight
I Beg Of You,7nAQlvws6GX1osYmndhvTa,Elvis Presley,1958,23,oldies,0.568,0.43,0,-10.295,1,0.0756,0.903,0.00046,0.112,0.799,164.127,113227,4,189,89.75,0.248369565,0.615217391,1088162,15383,40844,0,0,0,{2.23907E-05}
Dont,01u6AEzGbGbQyYVdxajxqk,Elvis Presley,1958,55,oldies,0.697,0.55,2,-11.496,1,0.18,0.856,3.44E-05,0.0907,0.836,84.802,122893,4,115,106.67,-0.203125,0.671875,1088162,134524,435634,0,0,0,{2.23907E-05}
Hard-Headed Woman,32CVurlBxtEYQlDm3yzCLl,Elvis Presley,1958,39,rock,0.61,0.699,0,-8.739,1,0.176,0.842,1.85E-06,0.501,0.861,97.924,113480,4,202,99.23,-0.245238095,0.533333333,1088162,135449,453248,0,0,0,{2.23907E-05}
Doncha Think Its Time,1KdAQLzlNDezCKPtAc2Xu1,Elvis Presley,1958,21,oldies,0.706,0.532,0,-11.013,1,0.0463,0.907,5.00E-05,0.29,0.871,135.368,117627,4,182,97.2,0.208366402,0.505820106,1088162,7751,18429,0,0,0,{2.23907E-05}
Wear My Ring Around Your Neck,36BT9FxW5dorOiUXZ5fb4B,Elvis Presley,1958,30,oldies,0.619,0.728,2,-8.736,1,0.0721,0.881,0.00132,0.101,0.962,105.852,133920,4,238,111.07,0.283333333,0.55,1088162,62184,191221,0,0,0,{2.23907E-05}
I Got Stung,0IDFXLMABcj61OKI3L05A0,Elvis Presley,1958,32,rock,0.731,0.832,10,-10.336,0,0.054,0.901,0.53,0.219,0.975,96.557,109413,4,240,96.18,-0.039593301,0.613157895,1088162,37052,119317,0,0,0,{2.23907E-05}
Devoted To You,4FrMb1ckGBrhARbHySQKx5,Everly Brothers,1958,39,oldies,0.587,0.34,3,-9.387,1,0.0256,0.834,0,0.0955,0.516,90.523,141040,4,132,99.23,-0.065,0.75,51500,31507,81236,0,0,0,{2.23907E-05}
All I Have To Do Is Dream,7dblNGnRXEBrVJunazs2U5,Everly Brothers,1958,53,oldies,0.534,0.462,4,-8.172,1,0.0266,0.839,0,0.129,0.531,96.195,143333,4,171,105.66,0.052678571,0.498214286,51500,205638,782449,0,0,0,{2.23907E-05}
Problems,6hmZbMxLPV97I6TS9kGKPk,Everly Brothers,1958,0,oldies,0.785,0.517,11,-13.63,1,0.0308,0.0489,0.00047,0.199,0.961,127.967,120031,4,110,87.72,0.183571429,0.544960317,51500,25436,56261,0,0,0,{2.23907E-05}
Bird Dog ,2ZCkqAo0tzzCVOth7ityh5,Everly Brothers,1958,36,oldies,0.658,0.706,11,-9.076,1,0.0354,0.686,2.18E-06,0.166,0.964,141.194,136427,4,280,96.18,?,?,51500,?,?,0,0,0,{2.23907E-05}
Claudette,0j1pAC8aRIw4l86kpjcRJ4,Everly Brothers,1958,0,oldies,0.659,0.855,4,-4.79,1,0.0335,0.32,0,0.352,0.974,157.048,140347,4,241,87.72,0.308777375,0.634498345,51500,35811,79940,0,0,0,{2.23907E-05}
26 Miles,66HLCz8021x20bXxz9nGkG,Four Preps,1958,23,oldies,0.64,0.388,9,-12.728,1,0.0426,0.715,0.00278,0.324,0.365,121.244,146000,4,240,64.37,0.05,0.375,456,2294,5830,0,0,0,{2.23907E-05}
Big Man,0KayDFomB8iDyAdOpKfKTK,Four Preps,1958,19,oldies,0.523,0.509,3,-8.451,1,0.03,0.914,0,0.267,0.796,125.539,143267,4,204,106.67,0.094736842,0.364035088,456,6413,16674,0,0,0,{2.23907E-05}
All the Way,1ktkBoXdDHD2N856EVKKTp,Frank Sinatra,1958,48,jazz,0.254,0.308,1,-9.851,1,0.0336,0.431,4.27E-06,0.536,0.189,76.281,171920,4,119,107.69,0.2,0.599074074,1078273,115423,361954,0,0,0,{2.23907E-05}
Witchcraft,0H2uVxEEvuRRYLhowu78jf,Frank Sinatra ,1958,56,jazz,0.488,0.322,0,-7.854,1,0.0367,0.589,0,0.122,0.343,116.437,172253,4,141,98.21,0.007142857,0.585714286,1078273,119579,391374,0,1,0.2,{2.23907E-05}
Ill Wait For You,0TDzOOO5nRZu8nxOw0EEF4,Frankie Avalon,1958,10,oldies,0.371,0.286,2,-9.15,1,0.0299,0.86,0,0.209,0.371,115.359,175467,4,130,107.69,0.325,0.625,3865,4879,11865,0,0,0,{2.23907E-05}
Dede Dinah,5Xyt4rammXH3LcUuSvOwfo,Frankie Avalon,1958,20,oldies,0.53,0.932,7,-5.619,1,0.0386,0.352,0,0.0706,0.969,138.972,132200,4,185,90.77,0.434444444,0.698518519,3865,4269,10042,0,0,0,{2.23907E-05}
Ginger Bread,1dE8huV910G5VBqhQMmYkJ,Frankie Avalon,1958,14,oldies,0.573,0.755,8,-7.172,1,0.0375,0.325,1.02E-06,0.276,0.97,148.105,124667,4,112,78.25,0.130769231,0.715384615,3865,5389,12347,0,0,0,{2.23907E-05}
Why Dont They Understand,1MkPFLINOUHthmArVvKKom,George Hamilton Iv,1958,1,country,0.691,0.13,0,-16.944,1,0.0357,0.37,0.019,0.113,0.425,104.046,134093,4,130,101.26,0.227272727,0.7,1169,2442,5315,0,0,0,{2.23907E-05}
Buzz-Buzz-Buzz,1rhkJsynQ42VnaJanPmNwg,Hollywood Flames,1958,27,oldies,0.578,0.469,0,-9.614,1,0.405,0.732,4.38E-06,0.192,0.962,173.9,136333,4,196,90.77,0.22625,0.43,123,2684,8055,0,0,0,{2.23907E-05}
My True Love,2urRqmAFhjZKo8Z6sEGzEv,Jack Scott,1958,23,oldies,0.554,0.189,4,-14.277,1,0.0279,0.915,1.37E-05,0.132,0.213,136.714,165293,3,155,99.23,0.375,0.568181818,1460,16081,37204,0,0,0,{2.23907E-05}
Leroy,5zlhMUKEiN90Uu0e4NTQbj,Jack Scott,1958,25,oldies,0.645,0.624,9,-11.805,1,0.0784,0.822,0.00679,0.099,0.851,106.598,128653,4,135,107.69,-0.019230769,0.223076923,1460,15203,36263,0,0,0,{2.23907E-05}
Breathless,2BYsfoEAEWfWOfCgwLUuEI,Jerry Lee Lewis,1958,35,oldies,0.278,0.963,5,-1.778,1,0.164,0.452,0,0.306,0.832,170.489,158680,4,169,100.24,0.158349206,0.496825397,74956,66296,159874,0,0,0,{2.23907E-05}
Great Balls Of Fire,4waQv4bln6SaCB51Qj9Fp6,Jerry Lee Lewis,1958,51,oldies,0.401,0.897,0,-8.016,1,0.0848,0.537,1.44E-06,0.065,0.936,166.703,106133,4,183,87.72,0.36875,0.640740741,74956,319011,1113992,0,0,0,{2.23907E-05}
Secretly,4jDVGv8E9MWWcVJJPl22t3,Jimmie Rodgers,1958,21,oldies,0.704,0.467,10,-10.421,0,0.0328,0.852,1.61E-06,0.109,0.359,76.625,157867,4,159,96.18,-0.080952381,0.63015873,4146,10947,21230,0,0,0,{2.23907E-05}
Kisses Sweeter Than Wine,4Cgc7acbuYHAEO338WAo5D,Jimmie Rodgers,1958,27,country,0.497,0.318,6,-12.974,1,0.0597,0.672,0,0.0783,0.68,162.104,142333,4,1,?,0,0,4146,38490,99756,0,0,0,{2.23907E-05}
Just A Dream,6vwC9OPGV0XHWWvCqE32Yp,Jimmy Clanton,1958,3,oldies,0.717,0.503,5,-9.928,1,0.0599,0.969,0.187,0.136,0.88,126.163,166040,4,165,97.2,0.005194805,0.420238095,522,13138,31913,0,0,0,{2.23907E-05}
The Walk,1Y7PR1ThUf9Q5rPOnNAeWK,Jimmy McCracklin,1958,26,blues,0.624,0.517,5,-11.941,1,0.0515,0.528,2.73E-06,0.116,0.888,76.817,161893,4,230,116.15,-0.058333333,0.425,369,11999,26429,0,0,0,{2.23907E-05}
Ballad of a Teenage Queen,5HwAaXDLVDgVcoGIjDRANK,Johnny Cash,1958,36,country,0.678,0.407,3,-11.037,0,0.055,0.583,0,0.121,0.637,97.957,130827,4,315,93.14,0.123387097,0.205645161,1115009,114690,350928,0,0,0,{2.23907E-05}
Guess Things Happen That Way,0zEUa7m4IuT39Nr8vJdDU3,Johnny Cash,1958,37,country,0.496,0.519,10,-8.32,1,0.0501,0.894,0.0082,0.172,0.868,147.331,110000,4,173,104.64,0.333333333,0.866666667,1115009,196945,699393,0,0,0,{2.23907E-05}
Willie and the Hand Jive,6ptO8XPlDKNILjyH5ozj9C,Johnny Otis Show,1958,7,oldies,0.738,0.84,5,-9.909,0,0.124,0.392,0.000259,0.949,0.883,99.846,197493,4,201,98.21,-0.090608466,0.621798942,112,7496,18126,0,0,0,{2.23907E-05}
When,5yARPNWQtcAVAaoiUmn1Zg,Kalin Twins,1958,28,oldies,0.667,0.426,6,-11.034,1,0.0333,0.656,5.35E-06,0.172,0.944,92.852,147067,4,184,115.13,0.378042328,0.437301587,169,8694,26169,0,0,0,{2.23907E-05}
Tom Dooley,5rivhNukBcqEX41XQDLYi9,Kingston Trio,1958,36,folk,0.632,0.137,4,-15.351,1,0.0446,0.866,2.92E-06,0.0825,0.532,125.95,185027,4,289,96.18,-0.183015873,0.405396825,7964,36361,105844,0,0,0,{2.23907E-05}
Hes Got The Whole World In His Hands,1pmTmzgbo4Y73DZuQ4cLae,Laurie London,1958,23,oldies,0.792,0.33,7,-11.148,1,0.0387,0.695,0,0.109,0.751,111.552,141520,4,192,105.66,0.2,0.4,151,2865,8396,0,0,0,{2.23907E-05}
Tears On My Pillow,07ePHsQ0SopWrnCbNjNC2D,Little Anthony and The Imperials,1958,46,oldies,0.432,0.202,0,-14.518,1,0.0283,0.908,0,0.181,0.601,100.082,140533,3,?,?,?,?,3233,34127,105880,0,0,0,{2.23907E-05}
Lazy Mary,61XbTTT5vkPP6RWXJSApkV,Lou Monte,1958,30,oldies,0.743,0.658,10,-8.479,1,0.045,0.266,0,0.17,0.972,121.718,160267,4,137,81.29,0.055555556,0.680555556,2096,4418,13717,0,0,0,{2.23907E-05}
